,From date,To date,DRM Office Danapur  Patna - BSPCB
1,01-07-2020 00:00,01-07-2020 01:00,174.73
2,01-07-2020 01:00,01-07-2020 02:00,174.74
3,01-07-2020 02:00,01-07-2020 03:00,174.74
4,01-07-2020 03:00,01-07-2020 04:00,174.76
5,01-07-2020 04:00,01-07-2020 05:00,175.03
6,01-07-2020 05:00,01-07-2020 06:00,175.44
7,01-07-2020 06:00,01-07-2020 07:00,175.79
8,01-07-2020 07:00,01-07-2020 08:00,175.83
9,01-07-2020 08:00,01-07-2020 09:00,175.86
10,01-07-2020 09:00,01-07-2020 10:00,121.15
11,01-07-2020 10:00,01-07-2020 11:00,None
12,01-07-2020 11:00,01-07-2020 12:00,None
13,01-07-2020 12:00,01-07-2020 13:00,None
14,01-07-2020 13:00,01-07-2020 14:00,None
15,01-07-2020 14:00,01-07-2020 15:00,None
16,01-07-2020 15:00,01-07-2020 16:00,None
17,01-07-2020 16:00,01-07-2020 17:00,None
18,01-07-2020 17:00,01-07-2020 18:00,None
19,01-07-2020 18:00,01-07-2020 19:00,82.69
20,01-07-2020 19:00,01-07-2020 20:00,111.33
21,01-07-2020 20:00,01-07-2020 21:00,129.03
22,01-07-2020 21:00,01-07-2020 22:00,121.87
23,01-07-2020 22:00,01-07-2020 23:00,73.37
24,01-07-2020 23:00,02-07-2020 00:00,74.16
25,02-07-2020 00:00,02-07-2020 01:00,86.03
26,02-07-2020 01:00,02-07-2020 02:00,90.75
27,02-07-2020 02:00,02-07-2020 03:00,94.3
28,02-07-2020 03:00,02-07-2020 04:00,98.69
29,02-07-2020 04:00,02-07-2020 05:00,94.36
30,02-07-2020 05:00,02-07-2020 06:00,68.6
31,02-07-2020 06:00,02-07-2020 07:00,81.57
32,02-07-2020 07:00,02-07-2020 08:00,90.9
33,02-07-2020 08:00,02-07-2020 09:00,92.36
34,02-07-2020 09:00,02-07-2020 10:00,90.14
35,02-07-2020 10:00,02-07-2020 11:00,86.31
36,02-07-2020 11:00,02-07-2020 12:00,80.75
37,02-07-2020 12:00,02-07-2020 13:00,75.07
38,02-07-2020 13:00,02-07-2020 14:00,72.73
39,02-07-2020 14:00,02-07-2020 15:00,71.03
40,02-07-2020 15:00,02-07-2020 16:00,72.98
41,02-07-2020 16:00,02-07-2020 17:00,74.58
42,02-07-2020 17:00,02-07-2020 18:00,77.45
43,02-07-2020 18:00,02-07-2020 19:00,85.32
44,02-07-2020 19:00,02-07-2020 20:00,85.41
45,02-07-2020 20:00,02-07-2020 21:00,85
46,02-07-2020 21:00,02-07-2020 22:00,84.25
47,02-07-2020 22:00,02-07-2020 23:00,85.17
48,02-07-2020 23:00,03-07-2020 00:00,86.27
49,03-07-2020 00:00,03-07-2020 01:00,88.25
50,03-07-2020 01:00,03-07-2020 02:00,78.27
51,03-07-2020 02:00,03-07-2020 03:00,76.8
52,03-07-2020 03:00,03-07-2020 04:00,84.05
53,03-07-2020 04:00,03-07-2020 05:00,64.07
54,03-07-2020 05:00,03-07-2020 06:00,64.86
55,03-07-2020 06:00,03-07-2020 07:00,63.12
56,03-07-2020 07:00,03-07-2020 08:00,58.18
57,03-07-2020 08:00,03-07-2020 09:00,57.14
58,03-07-2020 09:00,03-07-2020 10:00,56.58
59,03-07-2020 10:00,03-07-2020 11:00,56.37
60,03-07-2020 11:00,03-07-2020 12:00,56.34
61,03-07-2020 12:00,03-07-2020 13:00,56.16
62,03-07-2020 13:00,03-07-2020 14:00,56.15
63,03-07-2020 14:00,03-07-2020 15:00,56.2
64,03-07-2020 15:00,03-07-2020 16:00,56.28
65,03-07-2020 16:00,03-07-2020 17:00,56.34
66,03-07-2020 17:00,03-07-2020 18:00,56.33
67,03-07-2020 18:00,03-07-2020 19:00,56.62
68,03-07-2020 19:00,03-07-2020 20:00,56.69
69,03-07-2020 20:00,03-07-2020 21:00,57.01
70,03-07-2020 21:00,03-07-2020 22:00,57.25
71,03-07-2020 22:00,03-07-2020 23:00,58.26
72,03-07-2020 23:00,04-07-2020 00:00,56.55
73,04-07-2020 00:00,04-07-2020 01:00,56.26
74,04-07-2020 01:00,04-07-2020 02:00,55.96
75,04-07-2020 02:00,04-07-2020 03:00,55.89
76,04-07-2020 03:00,04-07-2020 04:00,55.88
77,04-07-2020 04:00,04-07-2020 05:00,55.91
78,04-07-2020 05:00,04-07-2020 06:00,56.2
79,04-07-2020 06:00,04-07-2020 07:00,56.53
80,04-07-2020 07:00,04-07-2020 08:00,57.83
81,04-07-2020 08:00,04-07-2020 09:00,61.57
82,04-07-2020 09:00,04-07-2020 10:00,58.72
83,04-07-2020 10:00,04-07-2020 11:00,57.56
84,04-07-2020 11:00,04-07-2020 12:00,None
85,04-07-2020 12:00,04-07-2020 13:00,61.51
86,04-07-2020 13:00,04-07-2020 14:00,14.1
87,04-07-2020 14:00,04-07-2020 15:00,12.2
88,04-07-2020 15:00,04-07-2020 16:00,17.79
89,04-07-2020 16:00,04-07-2020 17:00,10.29
90,04-07-2020 17:00,04-07-2020 18:00,15.44
91,04-07-2020 18:00,04-07-2020 19:00,44.45
92,04-07-2020 19:00,04-07-2020 20:00,37.77
93,04-07-2020 20:00,04-07-2020 21:00,36.18
94,04-07-2020 21:00,04-07-2020 22:00,35.72
95,04-07-2020 22:00,04-07-2020 23:00,26.92
96,04-07-2020 23:00,05-07-2020 00:00,26.41
97,05-07-2020 00:00,05-07-2020 01:00,26.99
98,05-07-2020 01:00,05-07-2020 02:00,26.08
99,05-07-2020 02:00,05-07-2020 03:00,25.51
100,05-07-2020 03:00,05-07-2020 04:00,24.18
101,05-07-2020 04:00,05-07-2020 05:00,20.9
102,05-07-2020 05:00,05-07-2020 06:00,20.52
103,05-07-2020 06:00,05-07-2020 07:00,21.37
104,05-07-2020 07:00,05-07-2020 08:00,21.51
105,05-07-2020 08:00,05-07-2020 09:00,19.48
106,05-07-2020 09:00,05-07-2020 10:00,19.86
107,05-07-2020 10:00,05-07-2020 11:00,16.24
108,05-07-2020 11:00,05-07-2020 12:00,13.98
109,05-07-2020 12:00,05-07-2020 13:00,11.91
110,05-07-2020 13:00,05-07-2020 14:00,11.12
111,05-07-2020 14:00,05-07-2020 15:00,10.68
112,05-07-2020 15:00,05-07-2020 16:00,10.45
113,05-07-2020 16:00,05-07-2020 17:00,11.52
