,From date,To date,IGSC Planetarium Complex  Patna - BSPCB
1,01-07-2020 00:00,01-07-2020 01:00,11.72
2,01-07-2020 01:00,01-07-2020 02:00,8.38
3,01-07-2020 02:00,01-07-2020 03:00,19.35
4,01-07-2020 03:00,01-07-2020 04:00,14.07
5,01-07-2020 04:00,01-07-2020 05:00,18.12
6,01-07-2020 05:00,01-07-2020 06:00,30.15
7,01-07-2020 06:00,01-07-2020 07:00,20.8
8,01-07-2020 07:00,01-07-2020 08:00,10.98
9,01-07-2020 08:00,01-07-2020 09:00,8.5
10,01-07-2020 09:00,01-07-2020 10:00,17.88
11,01-07-2020 10:00,01-07-2020 11:00,16.98
12,01-07-2020 11:00,01-07-2020 12:00,19.48
13,01-07-2020 12:00,01-07-2020 13:00,22.93
14,01-07-2020 13:00,01-07-2020 14:00,21.1
15,01-07-2020 14:00,01-07-2020 15:00,None
16,01-07-2020 15:00,01-07-2020 16:00,18.65
17,01-07-2020 16:00,01-07-2020 17:00,25.92
18,01-07-2020 17:00,01-07-2020 18:00,17.43
19,01-07-2020 18:00,01-07-2020 19:00,20.7
20,01-07-2020 19:00,01-07-2020 20:00,17.58
21,01-07-2020 20:00,01-07-2020 21:00,36.65
22,01-07-2020 21:00,01-07-2020 22:00,15.33
23,01-07-2020 22:00,01-07-2020 23:00,12.88
24,01-07-2020 23:00,02-07-2020 00:00,6.62
25,02-07-2020 00:00,02-07-2020 01:00,3.6
26,02-07-2020 01:00,02-07-2020 02:00,3.33
27,02-07-2020 02:00,02-07-2020 03:00,0.75
28,02-07-2020 03:00,02-07-2020 04:00,4.85
29,02-07-2020 04:00,02-07-2020 05:00,4.9
30,02-07-2020 05:00,02-07-2020 06:00,5.52
31,02-07-2020 06:00,02-07-2020 07:00,12.65
32,02-07-2020 07:00,02-07-2020 08:00,6.08
33,02-07-2020 08:00,02-07-2020 09:00,5.12
34,02-07-2020 09:00,02-07-2020 10:00,5.93
35,02-07-2020 10:00,02-07-2020 11:00,11.07
36,02-07-2020 11:00,02-07-2020 12:00,14.28
37,02-07-2020 12:00,02-07-2020 13:00,17.12
38,02-07-2020 13:00,02-07-2020 14:00,18.23
39,02-07-2020 14:00,02-07-2020 15:00,17
