,From date,To date,Muradpur  Patna - BSPCB
1,01-07-2020 00:00,01-07-2020 01:00,2.4
2,01-07-2020 01:00,01-07-2020 02:00,4.42
3,01-07-2020 02:00,01-07-2020 03:00,2.39
4,01-07-2020 03:00,01-07-2020 04:00,2.43
5,01-07-2020 04:00,01-07-2020 05:00,4
6,01-07-2020 05:00,01-07-2020 06:00,19.04
7,01-07-2020 06:00,01-07-2020 07:00,18.76
8,01-07-2020 07:00,01-07-2020 08:00,8.54
9,01-07-2020 08:00,01-07-2020 09:00,3.58
10,01-07-2020 09:00,01-07-2020 10:00,2.95
11,01-07-2020 10:00,01-07-2020 11:00,2.41
12,01-07-2020 11:00,01-07-2020 12:00,2.38
13,01-07-2020 12:00,01-07-2020 13:00,2.16
14,01-07-2020 13:00,01-07-2020 14:00,1.93
15,01-07-2020 14:00,01-07-2020 15:00,1.67
16,01-07-2020 15:00,01-07-2020 16:00,182.75
17,01-07-2020 16:00,01-07-2020 17:00,175.48
18,01-07-2020 17:00,01-07-2020 18:00,2.38
19,01-07-2020 18:00,01-07-2020 19:00,7.08
20,01-07-2020 19:00,01-07-2020 20:00,18.36
21,01-07-2020 20:00,01-07-2020 21:00,6.62
22,01-07-2020 21:00,01-07-2020 22:00,2.64
23,01-07-2020 22:00,01-07-2020 23:00,2.99
24,01-07-2020 23:00,02-07-2020 00:00,2.97
25,02-07-2020 00:00,02-07-2020 01:00,2.49
26,02-07-2020 01:00,02-07-2020 02:00,2.44
27,02-07-2020 02:00,02-07-2020 03:00,2.38
28,02-07-2020 03:00,02-07-2020 04:00,2.42
29,02-07-2020 04:00,02-07-2020 05:00,3.23
30,02-07-2020 05:00,02-07-2020 06:00,5.21
31,02-07-2020 06:00,02-07-2020 07:00,4.17
32,02-07-2020 07:00,02-07-2020 08:00,3.74
33,02-07-2020 08:00,02-07-2020 09:00,4.08
34,02-07-2020 09:00,02-07-2020 10:00,2.57
35,02-07-2020 10:00,02-07-2020 11:00,4.04
36,02-07-2020 11:00,02-07-2020 12:00,2.25
37,02-07-2020 12:00,02-07-2020 13:00,3.55
38,02-07-2020 13:00,02-07-2020 14:00,4.11
39,02-07-2020 14:00,02-07-2020 15:00,5.32
40,02-07-2020 15:00,02-07-2020 16:00,3.65
41,02-07-2020 16:00,02-07-2020 17:00,4.15
42,02-07-2020 17:00,02-07-2020 18:00,4.05
43,02-07-2020 18:00,02-07-2020 19:00,4.41
44,02-07-2020 19:00,02-07-2020 20:00,5.15
45,02-07-2020 20:00,02-07-2020 21:00,4.16
46,02-07-2020 21:00,02-07-2020 22:00,3.39
47,02-07-2020 22:00,02-07-2020 23:00,2.07
48,02-07-2020 23:00,03-07-2020 00:00,1.79
49,03-07-2020 00:00,03-07-2020 01:00,2.17
50,03-07-2020 01:00,03-07-2020 02:00,2.18
51,03-07-2020 02:00,03-07-2020 03:00,2.17
52,03-07-2020 03:00,03-07-2020 04:00,2.18
53,03-07-2020 04:00,03-07-2020 05:00,2.48
54,03-07-2020 05:00,03-07-2020 06:00,3.53
55,03-07-2020 06:00,03-07-2020 07:00,23.7
56,03-07-2020 07:00,03-07-2020 08:00,7.97
57,03-07-2020 08:00,03-07-2020 09:00,3.29
58,03-07-2020 09:00,03-07-2020 10:00,10.97
59,03-07-2020 10:00,03-07-2020 11:00,4
60,03-07-2020 11:00,03-07-2020 12:00,2.62
61,03-07-2020 12:00,03-07-2020 13:00,2.65
62,03-07-2020 13:00,03-07-2020 14:00,2.66
63,03-07-2020 14:00,03-07-2020 15:00,3.03
64,03-07-2020 15:00,03-07-2020 16:00,3.9
65,03-07-2020 16:00,03-07-2020 17:00,4.72
66,03-07-2020 17:00,03-07-2020 18:00,3.82
67,03-07-2020 18:00,03-07-2020 19:00,3.4
68,03-07-2020 19:00,03-07-2020 20:00,5.16
69,03-07-2020 20:00,03-07-2020 21:00,4.6
70,03-07-2020 21:00,03-07-2020 22:00,2.71
71,03-07-2020 22:00,03-07-2020 23:00,2.26
72,03-07-2020 23:00,04-07-2020 00:00,2.94
73,04-07-2020 00:00,04-07-2020 01:00,2.23
74,04-07-2020 01:00,04-07-2020 02:00,2.21
75,04-07-2020 02:00,04-07-2020 03:00,2.18
76,04-07-2020 03:00,04-07-2020 04:00,2.14
77,04-07-2020 04:00,04-07-2020 05:00,2.83
78,04-07-2020 05:00,04-07-2020 06:00,11.98
79,04-07-2020 06:00,04-07-2020 07:00,10.26
80,04-07-2020 07:00,04-07-2020 08:00,4.7
81,04-07-2020 08:00,04-07-2020 09:00,3.82
82,04-07-2020 09:00,04-07-2020 10:00,8.61
83,04-07-2020 10:00,04-07-2020 11:00,3.67
84,04-07-2020 11:00,04-07-2020 12:00,5.95
85,04-07-2020 12:00,04-07-2020 13:00,3.26
86,04-07-2020 13:00,04-07-2020 14:00,3.58
87,04-07-2020 14:00,04-07-2020 15:00,7.21
88,04-07-2020 15:00,04-07-2020 16:00,7.13
89,04-07-2020 16:00,04-07-2020 17:00,11.68
90,04-07-2020 17:00,04-07-2020 18:00,9.11
91,04-07-2020 18:00,04-07-2020 19:00,3.62
92,04-07-2020 19:00,04-07-2020 20:00,4.76
93,04-07-2020 20:00,04-07-2020 21:00,4.22
94,04-07-2020 21:00,04-07-2020 22:00,3.39
95,04-07-2020 22:00,04-07-2020 23:00,2.69
96,04-07-2020 23:00,05-07-2020 00:00,3.97
97,05-07-2020 00:00,05-07-2020 01:00,3.22
98,05-07-2020 01:00,05-07-2020 02:00,3.31
99,05-07-2020 02:00,05-07-2020 03:00,2.26
100,05-07-2020 03:00,05-07-2020 04:00,2.24
101,05-07-2020 04:00,05-07-2020 05:00,3.21
102,05-07-2020 05:00,05-07-2020 06:00,11.99
