,From date,To date,Rajbansi Nagar  Patna - BSPCB
1,01-07-2020 00:00,01-07-2020 01:00,21.86
2,01-07-2020 01:00,01-07-2020 02:00,7.12
3,01-07-2020 02:00,01-07-2020 03:00,4.53
4,01-07-2020 03:00,01-07-2020 04:00,4.42
5,01-07-2020 04:00,01-07-2020 05:00,4.69
6,01-07-2020 05:00,01-07-2020 06:00,9.23
7,01-07-2020 06:00,01-07-2020 07:00,8.27
8,01-07-2020 07:00,01-07-2020 08:00,4.19
9,01-07-2020 08:00,01-07-2020 09:00,3.63
10,01-07-2020 09:00,01-07-2020 10:00,15.99
11,01-07-2020 10:00,01-07-2020 11:00,12.04
12,01-07-2020 11:00,01-07-2020 12:00,6.76
13,01-07-2020 12:00,01-07-2020 13:00,10.29
14,01-07-2020 13:00,01-07-2020 14:00,7.92
15,01-07-2020 14:00,01-07-2020 15:00,10.31
16,01-07-2020 15:00,01-07-2020 16:00,12.05
17,01-07-2020 16:00,01-07-2020 17:00,13.12
18,01-07-2020 17:00,01-07-2020 18:00,19.93
19,01-07-2020 18:00,01-07-2020 19:00,46.34
20,01-07-2020 19:00,01-07-2020 20:00,43.77
21,01-07-2020 20:00,01-07-2020 21:00,41.32
22,01-07-2020 21:00,01-07-2020 22:00,9.5
23,01-07-2020 22:00,01-07-2020 23:00,3.24
24,01-07-2020 23:00,02-07-2020 00:00,3.66
25,02-07-2020 00:00,02-07-2020 01:00,4.08
26,02-07-2020 01:00,02-07-2020 02:00,3.32
27,02-07-2020 02:00,02-07-2020 03:00,5.22
28,02-07-2020 03:00,02-07-2020 04:00,4.29
29,02-07-2020 04:00,02-07-2020 05:00,4.07
30,02-07-2020 05:00,02-07-2020 06:00,7.63
31,02-07-2020 06:00,02-07-2020 07:00,8.56
32,02-07-2020 07:00,02-07-2020 08:00,7.38
33,02-07-2020 08:00,02-07-2020 09:00,7.11
34,02-07-2020 09:00,02-07-2020 10:00,8.17
35,02-07-2020 10:00,02-07-2020 11:00,10.36
36,02-07-2020 11:00,02-07-2020 12:00,9.11
37,02-07-2020 12:00,02-07-2020 13:00,8.41
38,02-07-2020 13:00,02-07-2020 14:00,8.79
39,02-07-2020 14:00,02-07-2020 15:00,8.89
40,02-07-2020 15:00,02-07-2020 16:00,9.4
41,02-07-2020 16:00,02-07-2020 17:00,9.33
42,02-07-2020 17:00,02-07-2020 18:00,4.51
43,02-07-2020 18:00,02-07-2020 19:00,3.62
44,02-07-2020 19:00,02-07-2020 20:00,3.96
45,02-07-2020 20:00,02-07-2020 21:00,3.41
46,02-07-2020 21:00,02-07-2020 22:00,3.88
47,02-07-2020 22:00,02-07-2020 23:00,3.61
48,02-07-2020 23:00,03-07-2020 00:00,3.26
49,03-07-2020 00:00,03-07-2020 01:00,3.12
50,03-07-2020 01:00,03-07-2020 02:00,3.54
51,03-07-2020 02:00,03-07-2020 03:00,3.1
52,03-07-2020 03:00,03-07-2020 04:00,3.19
53,03-07-2020 04:00,03-07-2020 05:00,3.68
54,03-07-2020 05:00,03-07-2020 06:00,4.19
55,03-07-2020 06:00,03-07-2020 07:00,4.82
56,03-07-2020 07:00,03-07-2020 08:00,4.62
57,03-07-2020 08:00,03-07-2020 09:00,7.47
58,03-07-2020 09:00,03-07-2020 10:00,5.51
59,03-07-2020 10:00,03-07-2020 11:00,4.51
60,03-07-2020 11:00,03-07-2020 12:00,6.89
61,03-07-2020 12:00,03-07-2020 13:00,6.15
62,03-07-2020 13:00,03-07-2020 14:00,6.88
63,03-07-2020 14:00,03-07-2020 15:00,7.19
64,03-07-2020 15:00,03-07-2020 16:00,7.08
65,03-07-2020 16:00,03-07-2020 17:00,4.17
66,03-07-2020 17:00,03-07-2020 18:00,3.19
67,03-07-2020 18:00,03-07-2020 19:00,3.68
68,03-07-2020 19:00,03-07-2020 20:00,5.37
69,03-07-2020 20:00,03-07-2020 21:00,3.29
70,03-07-2020 21:00,03-07-2020 22:00,4.39
71,03-07-2020 22:00,03-07-2020 23:00,3.84
72,03-07-2020 23:00,04-07-2020 00:00,3.2
73,04-07-2020 00:00,04-07-2020 01:00,3.37
74,04-07-2020 01:00,04-07-2020 02:00,3.53
75,04-07-2020 02:00,04-07-2020 03:00,3.24
76,04-07-2020 03:00,04-07-2020 04:00,3.23
77,04-07-2020 04:00,04-07-2020 05:00,3.21
78,04-07-2020 05:00,04-07-2020 06:00,3.37
79,04-07-2020 06:00,04-07-2020 07:00,3.6
80,04-07-2020 07:00,04-07-2020 08:00,4.29
81,04-07-2020 08:00,04-07-2020 09:00,4.36
82,04-07-2020 09:00,04-07-2020 10:00,4.66
83,04-07-2020 10:00,04-07-2020 11:00,4
84,04-07-2020 11:00,04-07-2020 12:00,3.62
85,04-07-2020 12:00,04-07-2020 13:00,5.69
86,04-07-2020 13:00,04-07-2020 14:00,5.78
87,04-07-2020 14:00,04-07-2020 15:00,12.75
88,04-07-2020 15:00,04-07-2020 16:00,15.07
89,04-07-2020 16:00,04-07-2020 17:00,12.65
90,04-07-2020 17:00,04-07-2020 18:00,20.22
