,From date,To date,Samanpura  Patna - BSPCB
1,01-07-2020 00:00,01-07-2020 01:00,6.29
2,01-07-2020 01:00,01-07-2020 02:00,6.74
3,01-07-2020 02:00,01-07-2020 03:00,6.81
4,01-07-2020 03:00,01-07-2020 04:00,6.87
5,01-07-2020 04:00,01-07-2020 05:00,7.47
6,01-07-2020 05:00,01-07-2020 06:00,7.74
7,01-07-2020 06:00,01-07-2020 07:00,7.98
8,01-07-2020 07:00,01-07-2020 08:00,7.98
9,01-07-2020 08:00,01-07-2020 09:00,7.96
10,01-07-2020 09:00,01-07-2020 10:00,7.6
11,01-07-2020 10:00,01-07-2020 11:00,7
12,01-07-2020 11:00,01-07-2020 12:00,6.81
13,01-07-2020 12:00,01-07-2020 13:00,6
14,01-07-2020 13:00,01-07-2020 14:00,5.32
15,01-07-2020 14:00,01-07-2020 15:00,5
16,01-07-2020 15:00,01-07-2020 16:00,5
17,01-07-2020 16:00,01-07-2020 17:00,4.08
18,01-07-2020 17:00,01-07-2020 18:00,3.82
19,01-07-2020 18:00,01-07-2020 19:00,3.8
20,01-07-2020 19:00,01-07-2020 20:00,3.78
21,01-07-2020 20:00,01-07-2020 21:00,4.22
22,01-07-2020 21:00,01-07-2020 22:00,4.57
23,01-07-2020 22:00,01-07-2020 23:00,4.67
24,01-07-2020 23:00,02-07-2020 00:00,5.23
25,02-07-2020 00:00,02-07-2020 01:00,5.33
26,02-07-2020 01:00,02-07-2020 02:00,6.43
27,02-07-2020 02:00,02-07-2020 03:00,7.06
28,02-07-2020 03:00,02-07-2020 04:00,7.72
29,02-07-2020 04:00,02-07-2020 05:00,7.72
30,02-07-2020 05:00,02-07-2020 06:00,8.04
31,02-07-2020 06:00,02-07-2020 07:00,8.16
32,02-07-2020 07:00,02-07-2020 08:00,8.79
33,02-07-2020 08:00,02-07-2020 09:00,9.45
34,02-07-2020 09:00,02-07-2020 10:00,8.18
35,02-07-2020 10:00,02-07-2020 11:00,6.78
36,02-07-2020 11:00,02-07-2020 12:00,None
37,02-07-2020 12:00,02-07-2020 13:00,None
38,02-07-2020 13:00,02-07-2020 14:00,None
39,02-07-2020 14:00,02-07-2020 15:00,None
40,02-07-2020 15:00,02-07-2020 16:00,0.66
41,02-07-2020 16:00,02-07-2020 17:00,0.03
42,02-07-2020 17:00,02-07-2020 18:00,None
43,02-07-2020 18:00,02-07-2020 19:00,None
44,02-07-2020 19:00,02-07-2020 20:00,None
45,02-07-2020 20:00,02-07-2020 21:00,0.41
46,02-07-2020 21:00,02-07-2020 22:00,0.67
47,02-07-2020 22:00,02-07-2020 23:00,0.82
48,02-07-2020 23:00,03-07-2020 00:00,0.85
49,03-07-2020 00:00,03-07-2020 01:00,0.99
50,03-07-2020 01:00,03-07-2020 02:00,0.96
51,03-07-2020 02:00,03-07-2020 03:00,1
52,03-07-2020 03:00,03-07-2020 04:00,0.84
53,03-07-2020 04:00,03-07-2020 05:00,1
54,03-07-2020 05:00,03-07-2020 06:00,1
55,03-07-2020 06:00,03-07-2020 07:00,1.3
56,03-07-2020 07:00,03-07-2020 08:00,None
57,03-07-2020 08:00,03-07-2020 09:00,None
58,03-07-2020 09:00,03-07-2020 10:00,None
59,03-07-2020 10:00,03-07-2020 11:00,None
60,03-07-2020 11:00,03-07-2020 12:00,None
61,03-07-2020 12:00,03-07-2020 13:00,0.12
62,03-07-2020 13:00,03-07-2020 14:00,None
63,03-07-2020 14:00,03-07-2020 15:00,None
64,03-07-2020 15:00,03-07-2020 16:00,None
65,03-07-2020 16:00,03-07-2020 17:00,None
66,03-07-2020 17:00,03-07-2020 18:00,None
67,03-07-2020 18:00,03-07-2020 19:00,None
68,03-07-2020 19:00,03-07-2020 20:00,0.55
69,03-07-2020 20:00,03-07-2020 21:00,1.64
70,03-07-2020 21:00,03-07-2020 22:00,2.8
71,03-07-2020 22:00,03-07-2020 23:00,3.25
72,03-07-2020 23:00,04-07-2020 00:00,4
73,04-07-2020 00:00,04-07-2020 01:00,3.91
74,04-07-2020 01:00,04-07-2020 02:00,4
75,04-07-2020 02:00,04-07-2020 03:00,4
76,04-07-2020 03:00,04-07-2020 04:00,4
77,04-07-2020 04:00,04-07-2020 05:00,4
78,04-07-2020 05:00,04-07-2020 06:00,4.74
79,04-07-2020 06:00,04-07-2020 07:00,4.47
80,04-07-2020 07:00,04-07-2020 08:00,4.86
81,04-07-2020 08:00,04-07-2020 09:00,5
82,04-07-2020 09:00,04-07-2020 10:00,4.68
83,04-07-2020 10:00,04-07-2020 11:00,4.82
84,04-07-2020 11:00,04-07-2020 12:00,4
85,04-07-2020 12:00,04-07-2020 13:00,4.04
86,04-07-2020 13:00,04-07-2020 14:00,4.69
87,04-07-2020 14:00,04-07-2020 15:00,4.98
88,04-07-2020 15:00,04-07-2020 16:00,5.6
89,04-07-2020 16:00,04-07-2020 17:00,6
90,04-07-2020 17:00,04-07-2020 18:00,6.58
91,04-07-2020 18:00,04-07-2020 19:00,6.84
92,04-07-2020 19:00,04-07-2020 20:00,6.98
93,04-07-2020 20:00,04-07-2020 21:00,7.75
94,04-07-2020 21:00,04-07-2020 22:00,7.9
95,04-07-2020 22:00,04-07-2020 23:00,7.87
96,04-07-2020 23:00,05-07-2020 00:00,7.93
97,05-07-2020 00:00,05-07-2020 01:00,7.88
98,05-07-2020 01:00,05-07-2020 02:00,7.72
99,05-07-2020 02:00,05-07-2020 03:00,7.54
100,05-07-2020 03:00,05-07-2020 04:00,7.57
101,05-07-2020 04:00,05-07-2020 05:00,8
102,05-07-2020 05:00,05-07-2020 06:00,7.62
103,05-07-2020 06:00,05-07-2020 07:00,7
104,05-07-2020 07:00,05-07-2020 08:00,6.98
105,05-07-2020 08:00,05-07-2020 09:00,6.77
106,05-07-2020 09:00,05-07-2020 10:00,6
107,05-07-2020 10:00,05-07-2020 11:00,5.52
108,05-07-2020 11:00,05-07-2020 12:00,4.97
109,05-07-2020 12:00,05-07-2020 13:00,4.25
110,05-07-2020 13:00,05-07-2020 14:00,4
111,05-07-2020 14:00,05-07-2020 15:00,3.99
112,05-07-2020 15:00,05-07-2020 16:00,3.06
113,05-07-2020 16:00,05-07-2020 17:00,3
114,05-07-2020 17:00,05-07-2020 18:00,3.46
115,05-07-2020 18:00,05-07-2020 19:00,4
116,05-07-2020 19:00,05-07-2020 20:00,4.73
117,05-07-2020 20:00,05-07-2020 21:00,5
118,05-07-2020 21:00,05-07-2020 22:00,5.53
119,05-07-2020 22:00,05-07-2020 23:00,5.98
120,05-07-2020 23:00,06-07-2020 00:00,6.48
121,06-07-2020 00:00,06-07-2020 01:00,6.69
122,06-07-2020 01:00,06-07-2020 02:00,6.95
123,06-07-2020 02:00,06-07-2020 03:00,6.98
124,06-07-2020 03:00,06-07-2020 04:00,6.55
125,06-07-2020 04:00,06-07-2020 05:00,6.61
126,06-07-2020 05:00,06-07-2020 06:00,6.86
127,06-07-2020 06:00,06-07-2020 07:00,6.88
128,06-07-2020 07:00,06-07-2020 08:00,6.25
129,06-07-2020 08:00,06-07-2020 09:00,6
130,06-07-2020 09:00,06-07-2020 10:00,6
131,06-07-2020 10:00,06-07-2020 11:00,6.73
132,06-07-2020 11:00,06-07-2020 12:00,8.33
133,06-07-2020 12:00,06-07-2020 13:00,11.78
134,06-07-2020 13:00,06-07-2020 14:00,None
135,06-07-2020 14:00,06-07-2020 15:00,None
136,06-07-2020 15:00,06-07-2020 16:00,None
137,06-07-2020 16:00,06-07-2020 17:00,10.51
138,06-07-2020 17:00,06-07-2020 18:00,7.65
139,06-07-2020 18:00,06-07-2020 19:00,None
140,06-07-2020 19:00,06-07-2020 20:00,None
141,06-07-2020 20:00,06-07-2020 21:00,0.04
142,06-07-2020 21:00,06-07-2020 22:00,0.06
143,06-07-2020 22:00,06-07-2020 23:00,0.07
144,06-07-2020 23:00,07-07-2020 00:00,0.08
