From date,To date,DRM Office Danapur  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,12.23
01-07-2020 01:00,01-07-2020 02:00,12.23
01-07-2020 02:00,01-07-2020 03:00,12.29
01-07-2020 03:00,01-07-2020 04:00,12.25
01-07-2020 04:00,01-07-2020 05:00,12.16
01-07-2020 05:00,01-07-2020 06:00,12.26
01-07-2020 06:00,01-07-2020 07:00,12.25
01-07-2020 07:00,01-07-2020 08:00,12.26
01-07-2020 08:00,01-07-2020 09:00,12.26
01-07-2020 09:00,01-07-2020 10:00,8.43
01-07-2020 10:00,01-07-2020 11:00,None
01-07-2020 11:00,01-07-2020 12:00,None
01-07-2020 12:00,01-07-2020 13:00,None
01-07-2020 13:00,01-07-2020 14:00,None
01-07-2020 14:00,01-07-2020 15:00,None
01-07-2020 15:00,01-07-2020 16:00,None
01-07-2020 16:00,01-07-2020 17:00,None
01-07-2020 17:00,01-07-2020 18:00,None
01-07-2020 18:00,01-07-2020 19:00,47.5
01-07-2020 19:00,01-07-2020 20:00,45.17
01-07-2020 20:00,01-07-2020 21:00,40.39
01-07-2020 21:00,01-07-2020 22:00,50.09
01-07-2020 22:00,01-07-2020 23:00,40.65
01-07-2020 23:00,02-07-2020 00:00,35.34
02-07-2020 00:00,02-07-2020 01:00,35.05
02-07-2020 01:00,02-07-2020 02:00,30.37
02-07-2020 02:00,02-07-2020 03:00,27.39
02-07-2020 03:00,02-07-2020 04:00,28.77
02-07-2020 04:00,02-07-2020 05:00,31.57
02-07-2020 05:00,02-07-2020 06:00,34.68
02-07-2020 06:00,02-07-2020 07:00,25.9
02-07-2020 07:00,02-07-2020 08:00,26.62
02-07-2020 08:00,02-07-2020 09:00,30.79
02-07-2020 09:00,02-07-2020 10:00,44.14
02-07-2020 10:00,02-07-2020 11:00,40.16
02-07-2020 11:00,02-07-2020 12:00,34.51
02-07-2020 12:00,02-07-2020 13:00,33.4
02-07-2020 13:00,02-07-2020 14:00,32.2
02-07-2020 14:00,02-07-2020 15:00,31.45
02-07-2020 15:00,02-07-2020 16:00,27.74
02-07-2020 16:00,02-07-2020 17:00,25.48
02-07-2020 17:00,02-07-2020 18:00,25.59
02-07-2020 18:00,02-07-2020 19:00,26.12
02-07-2020 19:00,02-07-2020 20:00,24.8
02-07-2020 20:00,02-07-2020 21:00,25.39
02-07-2020 21:00,02-07-2020 22:00,23.09
02-07-2020 22:00,02-07-2020 23:00,22.74
02-07-2020 23:00,03-07-2020 00:00,21.94
03-07-2020 00:00,03-07-2020 01:00,22.66
03-07-2020 01:00,03-07-2020 02:00,24.14
03-07-2020 02:00,03-07-2020 03:00,24.28
03-07-2020 03:00,03-07-2020 04:00,23.06
03-07-2020 04:00,03-07-2020 05:00,14.74
03-07-2020 05:00,03-07-2020 06:00,9.11
03-07-2020 06:00,03-07-2020 07:00,10.49
03-07-2020 07:00,03-07-2020 08:00,9.69
03-07-2020 08:00,03-07-2020 09:00,9.36
03-07-2020 09:00,03-07-2020 10:00,9.7
03-07-2020 10:00,03-07-2020 11:00,9.9
03-07-2020 11:00,03-07-2020 12:00,9.81
03-07-2020 12:00,03-07-2020 13:00,9.86
03-07-2020 13:00,03-07-2020 14:00,9.79
03-07-2020 14:00,03-07-2020 15:00,9.79
03-07-2020 15:00,03-07-2020 16:00,9.86
03-07-2020 16:00,03-07-2020 17:00,9.73
03-07-2020 17:00,03-07-2020 18:00,9.75
03-07-2020 18:00,03-07-2020 19:00,9.85
03-07-2020 19:00,03-07-2020 20:00,9.76
03-07-2020 20:00,03-07-2020 21:00,9.64
03-07-2020 21:00,03-07-2020 22:00,9.92
03-07-2020 22:00,03-07-2020 23:00,9.64
03-07-2020 23:00,04-07-2020 00:00,9.83
04-07-2020 00:00,04-07-2020 01:00,9.85
04-07-2020 01:00,04-07-2020 02:00,9.81
04-07-2020 02:00,04-07-2020 03:00,9.8
04-07-2020 03:00,04-07-2020 04:00,9.82
04-07-2020 04:00,04-07-2020 05:00,9.82
04-07-2020 05:00,04-07-2020 06:00,9.79
04-07-2020 06:00,04-07-2020 07:00,9.66
04-07-2020 07:00,04-07-2020 08:00,9.94
04-07-2020 08:00,04-07-2020 09:00,9.91
04-07-2020 09:00,04-07-2020 10:00,10.13
04-07-2020 10:00,04-07-2020 11:00,9.82
04-07-2020 11:00,04-07-2020 12:00,None
04-07-2020 12:00,04-07-2020 13:00,28.6
04-07-2020 13:00,04-07-2020 14:00,24.76
04-07-2020 14:00,04-07-2020 15:00,34.46
04-07-2020 15:00,04-07-2020 16:00,41.95
04-07-2020 16:00,04-07-2020 17:00,36.66
04-07-2020 17:00,04-07-2020 18:00,32.03
04-07-2020 18:00,04-07-2020 19:00,46.04
04-07-2020 19:00,04-07-2020 20:00,43.82
04-07-2020 20:00,04-07-2020 21:00,35.8
04-07-2020 21:00,04-07-2020 22:00,32.72
04-07-2020 22:00,04-07-2020 23:00,28.65
04-07-2020 23:00,05-07-2020 00:00,25.05
05-07-2020 00:00,05-07-2020 01:00,25.87
05-07-2020 01:00,05-07-2020 02:00,22.73
05-07-2020 02:00,05-07-2020 03:00,21.67
05-07-2020 03:00,05-07-2020 04:00,20.47
05-07-2020 04:00,05-07-2020 05:00,21.1
05-07-2020 05:00,05-07-2020 06:00,19.5
05-07-2020 06:00,05-07-2020 07:00,19.59
05-07-2020 07:00,05-07-2020 08:00,19.29
05-07-2020 08:00,05-07-2020 09:00,19.55
05-07-2020 09:00,05-07-2020 10:00,24.25
05-07-2020 10:00,05-07-2020 11:00,21.42
05-07-2020 11:00,05-07-2020 12:00,20.2
05-07-2020 12:00,05-07-2020 13:00,20.18
05-07-2020 13:00,05-07-2020 14:00,19.81
05-07-2020 14:00,05-07-2020 15:00,19.18
05-07-2020 15:00,05-07-2020 16:00,19.47
05-07-2020 16:00,05-07-2020 17:00,18.75
05-07-2020 17:00,05-07-2020 18:00,18.11
05-07-2020 18:00,05-07-2020 19:00,19.78
05-07-2020 19:00,05-07-2020 20:00,22.54
05-07-2020 20:00,05-07-2020 21:00,23.06
05-07-2020 21:00,05-07-2020 22:00,22.77
05-07-2020 22:00,05-07-2020 23:00,22.89
05-07-2020 23:00,06-07-2020 00:00,22.8
06-07-2020 00:00,06-07-2020 01:00,22.73
06-07-2020 01:00,06-07-2020 02:00,21.7
06-07-2020 02:00,06-07-2020 03:00,19.48
06-07-2020 03:00,06-07-2020 04:00,19.51
06-07-2020 04:00,06-07-2020 05:00,19.21
06-07-2020 05:00,06-07-2020 06:00,19.16
06-07-2020 06:00,06-07-2020 07:00,18.99
06-07-2020 07:00,06-07-2020 08:00,18.75
06-07-2020 08:00,06-07-2020 09:00,18.82
06-07-2020 09:00,06-07-2020 10:00,18.59
06-07-2020 10:00,06-07-2020 11:00,18.81
06-07-2020 11:00,06-07-2020 12:00,21.27
06-07-2020 12:00,06-07-2020 13:00,21.96
06-07-2020 13:00,06-07-2020 14:00,24.51
06-07-2020 14:00,06-07-2020 15:00,23.12
06-07-2020 15:00,06-07-2020 16:00,22.45
06-07-2020 16:00,06-07-2020 17:00,21.16
06-07-2020 17:00,06-07-2020 18:00,21.2
06-07-2020 18:00,06-07-2020 19:00,20.64
