,From date,To date,IGSC Planetarium Complex  Patna - BSPCB
1,01-07-2020 00:00,01-07-2020 01:00,46.95
2,01-07-2020 01:00,01-07-2020 02:00,39.08
3,01-07-2020 02:00,01-07-2020 03:00,39.97
4,01-07-2020 03:00,01-07-2020 04:00,32.95
5,01-07-2020 04:00,01-07-2020 05:00,40.92
6,01-07-2020 05:00,01-07-2020 06:00,42.6
7,01-07-2020 06:00,01-07-2020 07:00,39.25
8,01-07-2020 07:00,01-07-2020 08:00,32.48
9,01-07-2020 08:00,01-07-2020 09:00,29.05
10,01-07-2020 09:00,01-07-2020 10:00,39.95
11,01-07-2020 10:00,01-07-2020 11:00,45.62
12,01-07-2020 11:00,01-07-2020 12:00,53.42
13,01-07-2020 12:00,01-07-2020 13:00,52.77
14,01-07-2020 13:00,01-07-2020 14:00,33.05
15,01-07-2020 14:00,01-07-2020 15:00,49.02
16,01-07-2020 15:00,01-07-2020 16:00,57.53
17,01-07-2020 16:00,01-07-2020 17:00,69.72
18,01-07-2020 17:00,01-07-2020 18:00,86.88
19,01-07-2020 18:00,01-07-2020 19:00,91.58
20,01-07-2020 19:00,01-07-2020 20:00,85.95
21,01-07-2020 20:00,01-07-2020 21:00,104.8
22,01-07-2020 21:00,01-07-2020 22:00,74.38
23,01-07-2020 22:00,01-07-2020 23:00,39.33
24,01-07-2020 23:00,02-07-2020 00:00,28.73
25,02-07-2020 00:00,02-07-2020 01:00,24.8
26,02-07-2020 01:00,02-07-2020 02:00,20.38
27,02-07-2020 02:00,02-07-2020 03:00,22.42
28,02-07-2020 03:00,02-07-2020 04:00,20.3
29,02-07-2020 04:00,02-07-2020 05:00,23.92
30,02-07-2020 05:00,02-07-2020 06:00,22.45
31,02-07-2020 06:00,02-07-2020 07:00,21
32,02-07-2020 07:00,02-07-2020 08:00,21.68
33,02-07-2020 08:00,02-07-2020 09:00,22.48
34,02-07-2020 09:00,02-07-2020 10:00,23.23
35,02-07-2020 10:00,02-07-2020 11:00,31.35
36,02-07-2020 11:00,02-07-2020 12:00,31.32
37,02-07-2020 12:00,02-07-2020 13:00,32.27
38,02-07-2020 13:00,02-07-2020 14:00,30.5
39,02-07-2020 14:00,02-07-2020 15:00,27.7
40,02-07-2020 15:00,02-07-2020 16:00,31.8
41,02-07-2020 16:00,02-07-2020 17:00,29.77
42,02-07-2020 17:00,02-07-2020 18:00,33.43
43,02-07-2020 18:00,02-07-2020 19:00,61.23
44,02-07-2020 19:00,02-07-2020 20:00,80.35
45,02-07-2020 20:00,02-07-2020 21:00,49.75
46,02-07-2020 21:00,02-07-2020 22:00,34.65
47,02-07-2020 22:00,02-07-2020 23:00,27.82
48,02-07-2020 23:00,03-07-2020 00:00,23.78
49,03-07-2020 00:00,03-07-2020 01:00,23.57
50,03-07-2020 01:00,03-07-2020 02:00,21.48
51,03-07-2020 02:00,03-07-2020 03:00,18.75
52,03-07-2020 03:00,03-07-2020 04:00,17.3
53,03-07-2020 04:00,03-07-2020 05:00,17.95
54,03-07-2020 05:00,03-07-2020 06:00,21.32
55,03-07-2020 06:00,03-07-2020 07:00,23.45
56,03-07-2020 07:00,03-07-2020 08:00,21.47
57,03-07-2020 08:00,03-07-2020 09:00,20.15
58,03-07-2020 09:00,03-07-2020 10:00,20.95
59,03-07-2020 10:00,03-07-2020 11:00,27.1
60,03-07-2020 11:00,03-07-2020 12:00,33.12
61,03-07-2020 12:00,03-07-2020 13:00,49.7
62,03-07-2020 13:00,03-07-2020 14:00,31.28
63,03-07-2020 14:00,03-07-2020 15:00,25.38
64,03-07-2020 15:00,03-07-2020 16:00,32
65,03-07-2020 16:00,03-07-2020 17:00,27.7
66,03-07-2020 17:00,03-07-2020 18:00,22.92
67,03-07-2020 18:00,03-07-2020 19:00,26.02
68,03-07-2020 19:00,03-07-2020 20:00,30.23
69,03-07-2020 20:00,03-07-2020 21:00,23.3
70,03-07-2020 21:00,03-07-2020 22:00,23.65
71,03-07-2020 22:00,03-07-2020 23:00,21.25
72,03-07-2020 23:00,04-07-2020 00:00,21.1
73,04-07-2020 00:00,04-07-2020 01:00,18.9
74,04-07-2020 01:00,04-07-2020 02:00,15.35
75,04-07-2020 02:00,04-07-2020 03:00,13.85
76,04-07-2020 03:00,04-07-2020 04:00,16.25
77,04-07-2020 04:00,04-07-2020 05:00,17.15
78,04-07-2020 05:00,04-07-2020 06:00,15.53
79,04-07-2020 06:00,04-07-2020 07:00,20.7
80,04-07-2020 07:00,04-07-2020 08:00,19.35
81,04-07-2020 08:00,04-07-2020 09:00,17.83
82,04-07-2020 09:00,04-07-2020 10:00,19.3
83,04-07-2020 10:00,04-07-2020 11:00,21.4
84,04-07-2020 11:00,04-07-2020 12:00,22.7
85,04-07-2020 12:00,04-07-2020 13:00,21.65
86,04-07-2020 13:00,04-07-2020 14:00,27.6
87,04-07-2020 14:00,04-07-2020 15:00,35.33
88,04-07-2020 15:00,04-07-2020 16:00,33.25
89,04-07-2020 16:00,04-07-2020 17:00,30.35
90,04-07-2020 17:00,04-07-2020 18:00,30.65
91,04-07-2020 18:00,04-07-2020 19:00,30.35
92,04-07-2020 19:00,04-07-2020 20:00,26.9
93,04-07-2020 20:00,04-07-2020 21:00,26.23
94,04-07-2020 21:00,04-07-2020 22:00,22
95,04-07-2020 22:00,04-07-2020 23:00,23.3
96,04-07-2020 23:00,05-07-2020 00:00,19.3
97,05-07-2020 00:00,05-07-2020 01:00,18.27
98,05-07-2020 01:00,05-07-2020 02:00,16.68
99,05-07-2020 02:00,05-07-2020 03:00,15.5
100,05-07-2020 03:00,05-07-2020 04:00,13.95
101,05-07-2020 04:00,05-07-2020 05:00,16.15
102,05-07-2020 05:00,05-07-2020 06:00,14.25
103,05-07-2020 06:00,05-07-2020 07:00,17.2
104,05-07-2020 07:00,05-07-2020 08:00,16.35
105,05-07-2020 08:00,05-07-2020 09:00,17.18
106,05-07-2020 09:00,05-07-2020 10:00,20.53
107,05-07-2020 10:00,05-07-2020 11:00,16.6
108,05-07-2020 11:00,05-07-2020 12:00,20.23
109,05-07-2020 12:00,05-07-2020 13:00,18.33
110,05-07-2020 13:00,05-07-2020 14:00,19.88
111,05-07-2020 14:00,05-07-2020 15:00,18.98
112,05-07-2020 15:00,05-07-2020 16:00,20.02
113,05-07-2020 16:00,05-07-2020 17:00,21.38
114,05-07-2020 17:00,05-07-2020 18:00,18.12
115,05-07-2020 18:00,05-07-2020 19:00,22.7
116,05-07-2020 19:00,05-07-2020 20:00,23.12
117,05-07-2020 20:00,05-07-2020 21:00,22.5
118,05-07-2020 21:00,05-07-2020 22:00,19.62
119,05-07-2020 22:00,05-07-2020 23:00,19.12
120,05-07-2020 23:00,06-07-2020 00:00,16.77
121,06-07-2020 00:00,06-07-2020 01:00,18.27
122,06-07-2020 01:00,06-07-2020 02:00,17.12
123,06-07-2020 02:00,06-07-2020 03:00,13.7
124,06-07-2020 03:00,06-07-2020 04:00,14.05
125,06-07-2020 04:00,06-07-2020 05:00,16.67
126,06-07-2020 05:00,06-07-2020 06:00,15.1
127,06-07-2020 06:00,06-07-2020 07:00,17.2
128,06-07-2020 07:00,06-07-2020 08:00,16.07
129,06-07-2020 08:00,06-07-2020 09:00,14.95
130,06-07-2020 09:00,06-07-2020 10:00,15.57
131,06-07-2020 10:00,06-07-2020 11:00,14.3
132,06-07-2020 11:00,06-07-2020 12:00,17.48
133,06-07-2020 12:00,06-07-2020 13:00,17
134,06-07-2020 13:00,06-07-2020 14:00,19.33
135,06-07-2020 14:00,06-07-2020 15:00,18.65
136,06-07-2020 15:00,06-07-2020 16:00,19.45
137,06-07-2020 16:00,06-07-2020 17:00,17.25
138,06-07-2020 17:00,06-07-2020 18:00,16.95
139,06-07-2020 18:00,06-07-2020 19:00,17.9
140,06-07-2020 19:00,06-07-2020 20:00,21.42
141,06-07-2020 20:00,06-07-2020 21:00,16.1
142,06-07-2020 21:00,06-07-2020 22:00,14.93
143,06-07-2020 22:00,06-07-2020 23:00,16.32
144,06-07-2020 23:00,07-07-2020 00:00,15.05
145,07-07-2020 00:00,07-07-2020 01:00,15.03
146,07-07-2020 01:00,07-07-2020 02:00,11.62
147,07-07-2020 02:00,07-07-2020 03:00,13.9
148,07-07-2020 03:00,07-07-2020 04:00,11.78
149,07-07-2020 04:00,07-07-2020 05:00,13.55
150,07-07-2020 05:00,07-07-2020 06:00,15.07
151,07-07-2020 06:00,07-07-2020 07:00,13.7
152,07-07-2020 07:00,07-07-2020 08:00,12.82
153,07-07-2020 08:00,07-07-2020 09:00,12.95
154,07-07-2020 09:00,07-07-2020 10:00,17.48
155,07-07-2020 10:00,07-07-2020 11:00,14.95
156,07-07-2020 11:00,07-07-2020 12:00,14.62
157,07-07-2020 12:00,07-07-2020 13:00,15.9
158,07-07-2020 13:00,07-07-2020 14:00,19.55
159,07-07-2020 14:00,07-07-2020 15:00,17.9
160,07-07-2020 15:00,07-07-2020 16:00,18
161,07-07-2020 16:00,07-07-2020 17:00,17.85
162,07-07-2020 17:00,07-07-2020 18:00,17.67
163,07-07-2020 18:00,07-07-2020 19:00,16.85
164,07-07-2020 19:00,07-07-2020 20:00,17.75
165,07-07-2020 20:00,07-07-2020 21:00,17.73
166,07-07-2020 21:00,07-07-2020 22:00,16.02
