From date,To date,Muradpur  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,15.07
01-07-2020 01:00,01-07-2020 02:00,20.59
01-07-2020 02:00,01-07-2020 03:00,13.09
01-07-2020 03:00,01-07-2020 04:00,15.96
01-07-2020 04:00,01-07-2020 05:00,18.9
01-07-2020 05:00,01-07-2020 06:00,21.7
01-07-2020 06:00,01-07-2020 07:00,23.32
01-07-2020 07:00,01-07-2020 08:00,22.75
01-07-2020 08:00,01-07-2020 09:00,14.55
01-07-2020 09:00,01-07-2020 10:00,12.72
01-07-2020 10:00,01-07-2020 11:00,11.04
01-07-2020 11:00,01-07-2020 12:00,13.46
01-07-2020 12:00,01-07-2020 13:00,10.88
01-07-2020 13:00,01-07-2020 14:00,10.22
01-07-2020 14:00,01-07-2020 15:00,12.43
01-07-2020 15:00,01-07-2020 16:00,76.91
01-07-2020 16:00,01-07-2020 17:00,69.2
01-07-2020 17:00,01-07-2020 18:00,15.64
01-07-2020 18:00,01-07-2020 19:00,40.12
01-07-2020 19:00,01-07-2020 20:00,78.97
01-07-2020 20:00,01-07-2020 21:00,63.3
01-07-2020 21:00,01-07-2020 22:00,40.05
01-07-2020 22:00,01-07-2020 23:00,27.29
01-07-2020 23:00,02-07-2020 00:00,19.36
02-07-2020 00:00,02-07-2020 01:00,15.53
02-07-2020 01:00,02-07-2020 02:00,12.41
02-07-2020 02:00,02-07-2020 03:00,10.28
02-07-2020 03:00,02-07-2020 04:00,11.04
02-07-2020 04:00,02-07-2020 05:00,15
02-07-2020 05:00,02-07-2020 06:00,18.85
02-07-2020 06:00,02-07-2020 07:00,16.14
02-07-2020 07:00,02-07-2020 08:00,17.75
02-07-2020 08:00,02-07-2020 09:00,17.67
02-07-2020 09:00,02-07-2020 10:00,10.76
02-07-2020 10:00,02-07-2020 11:00,8.25
02-07-2020 11:00,02-07-2020 12:00,5.86
02-07-2020 12:00,02-07-2020 13:00,16.43
02-07-2020 13:00,02-07-2020 14:00,20.86
02-07-2020 14:00,02-07-2020 15:00,30.06
02-07-2020 15:00,02-07-2020 16:00,18.23
02-07-2020 16:00,02-07-2020 17:00,18.26
02-07-2020 17:00,02-07-2020 18:00,24.8
02-07-2020 18:00,02-07-2020 19:00,26.95
02-07-2020 19:00,02-07-2020 20:00,25.79
02-07-2020 20:00,02-07-2020 21:00,19.76
02-07-2020 21:00,02-07-2020 22:00,13.95
02-07-2020 22:00,02-07-2020 23:00,11.17
02-07-2020 23:00,03-07-2020 00:00,9.06
03-07-2020 00:00,03-07-2020 01:00,7.75
03-07-2020 01:00,03-07-2020 02:00,6.86
03-07-2020 02:00,03-07-2020 03:00,6.57
03-07-2020 03:00,03-07-2020 04:00,6.29
03-07-2020 04:00,03-07-2020 05:00,7.7
03-07-2020 05:00,03-07-2020 06:00,10.84
03-07-2020 06:00,03-07-2020 07:00,25.85
03-07-2020 07:00,03-07-2020 08:00,17.64
03-07-2020 08:00,03-07-2020 09:00,12.33
03-07-2020 09:00,03-07-2020 10:00,15.26
03-07-2020 10:00,03-07-2020 11:00,15.54
03-07-2020 11:00,03-07-2020 12:00,11.91
03-07-2020 12:00,03-07-2020 13:00,11.05
03-07-2020 13:00,03-07-2020 14:00,10.31
03-07-2020 14:00,03-07-2020 15:00,11.38
03-07-2020 15:00,03-07-2020 16:00,14.06
03-07-2020 16:00,03-07-2020 17:00,17.12
03-07-2020 17:00,03-07-2020 18:00,21.57
03-07-2020 18:00,03-07-2020 19:00,23.43
03-07-2020 19:00,03-07-2020 20:00,26.48
03-07-2020 20:00,03-07-2020 21:00,27.56
03-07-2020 21:00,03-07-2020 22:00,15.71
03-07-2020 22:00,03-07-2020 23:00,12.41
03-07-2020 23:00,04-07-2020 00:00,12.06
04-07-2020 00:00,04-07-2020 01:00,8.11
04-07-2020 01:00,04-07-2020 02:00,7.4
04-07-2020 02:00,04-07-2020 03:00,7.29
04-07-2020 03:00,04-07-2020 04:00,9.39
04-07-2020 04:00,04-07-2020 05:00,14.73
04-07-2020 05:00,04-07-2020 06:00,17.91
04-07-2020 06:00,04-07-2020 07:00,17.66
04-07-2020 07:00,04-07-2020 08:00,13.05
04-07-2020 08:00,04-07-2020 09:00,12.64
04-07-2020 09:00,04-07-2020 10:00,16.39
04-07-2020 10:00,04-07-2020 11:00,13.52
04-07-2020 11:00,04-07-2020 12:00,21.27
04-07-2020 12:00,04-07-2020 13:00,19.83
04-07-2020 13:00,04-07-2020 14:00,15.93
04-07-2020 14:00,04-07-2020 15:00,33.21
04-07-2020 15:00,04-07-2020 16:00,35.8
04-07-2020 16:00,04-07-2020 17:00,41.45
04-07-2020 17:00,04-07-2020 18:00,43.2
04-07-2020 18:00,04-07-2020 19:00,20.76
04-07-2020 19:00,04-07-2020 20:00,21.92
04-07-2020 20:00,04-07-2020 21:00,21.48
04-07-2020 21:00,04-07-2020 22:00,19.66
04-07-2020 22:00,04-07-2020 23:00,14.62
04-07-2020 23:00,05-07-2020 00:00,13.78
05-07-2020 00:00,05-07-2020 01:00,11.26
05-07-2020 01:00,05-07-2020 02:00,12.07
05-07-2020 02:00,05-07-2020 03:00,9.34
05-07-2020 03:00,05-07-2020 04:00,7.26
05-07-2020 04:00,05-07-2020 05:00,8.21
05-07-2020 05:00,05-07-2020 06:00,14.2
