From date,To date,Rajbansi Nagar  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,32.67
01-07-2020 01:00,01-07-2020 02:00,19.55
01-07-2020 02:00,01-07-2020 03:00,15.76
01-07-2020 03:00,01-07-2020 04:00,14.46
01-07-2020 04:00,01-07-2020 05:00,13.62
01-07-2020 05:00,01-07-2020 06:00,16.8
01-07-2020 06:00,01-07-2020 07:00,18.89
01-07-2020 07:00,01-07-2020 08:00,10.82
01-07-2020 08:00,01-07-2020 09:00,11.07
01-07-2020 09:00,01-07-2020 10:00,34.46
01-07-2020 10:00,01-07-2020 11:00,29.42
01-07-2020 11:00,01-07-2020 12:00,21.77
01-07-2020 12:00,01-07-2020 13:00,32.92
01-07-2020 13:00,01-07-2020 14:00,26.72
01-07-2020 14:00,01-07-2020 15:00,29.07
01-07-2020 15:00,01-07-2020 16:00,32.39
01-07-2020 16:00,01-07-2020 17:00,35.96
01-07-2020 17:00,01-07-2020 18:00,60.53
01-07-2020 18:00,01-07-2020 19:00,88.06
01-07-2020 19:00,01-07-2020 20:00,81.96
01-07-2020 20:00,01-07-2020 21:00,71.5
01-07-2020 21:00,01-07-2020 22:00,37.81
01-07-2020 22:00,01-07-2020 23:00,12.35
01-07-2020 23:00,02-07-2020 00:00,11.06
02-07-2020 00:00,02-07-2020 01:00,11.64
02-07-2020 01:00,02-07-2020 02:00,8.67
02-07-2020 02:00,02-07-2020 03:00,10.54
02-07-2020 03:00,02-07-2020 04:00,9.19
02-07-2020 04:00,02-07-2020 05:00,8.69
02-07-2020 05:00,02-07-2020 06:00,16.55
02-07-2020 06:00,02-07-2020 07:00,18.41
02-07-2020 07:00,02-07-2020 08:00,18.9
02-07-2020 08:00,02-07-2020 09:00,20.35
02-07-2020 09:00,02-07-2020 10:00,28.79
02-07-2020 10:00,02-07-2020 11:00,38.28
02-07-2020 11:00,02-07-2020 12:00,34.85
02-07-2020 12:00,02-07-2020 13:00,35.81
02-07-2020 13:00,02-07-2020 14:00,32.13
02-07-2020 14:00,02-07-2020 15:00,26.66
02-07-2020 15:00,02-07-2020 16:00,31.44
02-07-2020 16:00,02-07-2020 17:00,28.5
02-07-2020 17:00,02-07-2020 18:00,20.58
02-07-2020 18:00,02-07-2020 19:00,21.02
02-07-2020 19:00,02-07-2020 20:00,21.02
02-07-2020 20:00,02-07-2020 21:00,14.24
02-07-2020 21:00,02-07-2020 22:00,13.5
02-07-2020 22:00,02-07-2020 23:00,12.05
02-07-2020 23:00,03-07-2020 00:00,10.7
03-07-2020 00:00,03-07-2020 01:00,11.47
03-07-2020 01:00,03-07-2020 02:00,9.43
03-07-2020 02:00,03-07-2020 03:00,9.18
03-07-2020 03:00,03-07-2020 04:00,8.51
03-07-2020 04:00,03-07-2020 05:00,10.23
03-07-2020 05:00,03-07-2020 06:00,9.86
03-07-2020 06:00,03-07-2020 07:00,14.22
03-07-2020 07:00,03-07-2020 08:00,14.54
03-07-2020 08:00,03-07-2020 09:00,17.71
03-07-2020 09:00,03-07-2020 10:00,15.66
03-07-2020 10:00,03-07-2020 11:00,10.91
03-07-2020 11:00,03-07-2020 12:00,15.35
03-07-2020 12:00,03-07-2020 13:00,14.82
03-07-2020 13:00,03-07-2020 14:00,15.56
03-07-2020 14:00,03-07-2020 15:00,17.87
03-07-2020 15:00,03-07-2020 16:00,17.91
03-07-2020 16:00,03-07-2020 17:00,12.12
03-07-2020 17:00,03-07-2020 18:00,8.72
03-07-2020 18:00,03-07-2020 19:00,11.52
03-07-2020 19:00,03-07-2020 20:00,20.2
03-07-2020 20:00,03-07-2020 21:00,14.25
03-07-2020 21:00,03-07-2020 22:00,14.93
03-07-2020 22:00,03-07-2020 23:00,10.34
03-07-2020 23:00,04-07-2020 00:00,8.87
04-07-2020 00:00,04-07-2020 01:00,7.47
04-07-2020 01:00,04-07-2020 02:00,6.72
04-07-2020 02:00,04-07-2020 03:00,7.04
04-07-2020 03:00,04-07-2020 04:00,7.61
04-07-2020 04:00,04-07-2020 05:00,7.15
04-07-2020 05:00,04-07-2020 06:00,8.28
04-07-2020 06:00,04-07-2020 07:00,8.79
04-07-2020 07:00,04-07-2020 08:00,7.89
04-07-2020 08:00,04-07-2020 09:00,9.28
04-07-2020 09:00,04-07-2020 10:00,9.71
04-07-2020 10:00,04-07-2020 11:00,8.35
04-07-2020 11:00,04-07-2020 12:00,9.68
04-07-2020 12:00,04-07-2020 13:00,16.73
04-07-2020 13:00,04-07-2020 14:00,16.93
04-07-2020 14:00,04-07-2020 15:00,38.53
04-07-2020 15:00,04-07-2020 16:00,46.82
04-07-2020 16:00,04-07-2020 17:00,45.97
04-07-2020 17:00,04-07-2020 18:00,43.47
04-07-2020 18:00,04-07-2020 19:00,58.97
04-07-2020 19:00,04-07-2020 20:00,63.68
04-07-2020 20:00,04-07-2020 21:00,41.08
04-07-2020 21:00,04-07-2020 22:00,28.54
04-07-2020 22:00,04-07-2020 23:00,23.82
04-07-2020 23:00,05-07-2020 00:00,12.86
05-07-2020 00:00,05-07-2020 01:00,15.64
05-07-2020 01:00,05-07-2020 02:00,11.04
05-07-2020 02:00,05-07-2020 03:00,10.5
05-07-2020 03:00,05-07-2020 04:00,8.35
