From date,To date,Samanpura  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,18.44
01-07-2020 01:00,01-07-2020 02:00,19.93
01-07-2020 02:00,01-07-2020 03:00,20.08
01-07-2020 03:00,01-07-2020 04:00,20.25
01-07-2020 04:00,01-07-2020 05:00,20.96
01-07-2020 05:00,01-07-2020 06:00,21.44
01-07-2020 06:00,01-07-2020 07:00,22.48
01-07-2020 07:00,01-07-2020 08:00,22.74
01-07-2020 08:00,01-07-2020 09:00,21.74
01-07-2020 09:00,01-07-2020 10:00,21.4
01-07-2020 10:00,01-07-2020 11:00,20.6
01-07-2020 11:00,01-07-2020 12:00,19.34
01-07-2020 12:00,01-07-2020 13:00,17.53
01-07-2020 13:00,01-07-2020 14:00,16.28
01-07-2020 14:00,01-07-2020 15:00,15.53
01-07-2020 15:00,01-07-2020 16:00,14.22
01-07-2020 16:00,01-07-2020 17:00,13.35
01-07-2020 17:00,01-07-2020 18:00,12.23
01-07-2020 18:00,01-07-2020 19:00,12.29
01-07-2020 19:00,01-07-2020 20:00,12.97
01-07-2020 20:00,01-07-2020 21:00,13.9
01-07-2020 21:00,01-07-2020 22:00,15.21
01-07-2020 22:00,01-07-2020 23:00,15.18
01-07-2020 23:00,02-07-2020 00:00,15.52
02-07-2020 00:00,02-07-2020 01:00,15.52
02-07-2020 01:00,02-07-2020 02:00,18.98
02-07-2020 02:00,02-07-2020 03:00,19.88
02-07-2020 03:00,02-07-2020 04:00,21.89
02-07-2020 04:00,02-07-2020 05:00,22.29
02-07-2020 05:00,02-07-2020 06:00,23.22
02-07-2020 06:00,02-07-2020 07:00,23.49
02-07-2020 07:00,02-07-2020 08:00,25.2
02-07-2020 08:00,02-07-2020 09:00,25.87
02-07-2020 09:00,02-07-2020 10:00,23.2
02-07-2020 10:00,02-07-2020 11:00,19.47
02-07-2020 11:00,02-07-2020 12:00,None
02-07-2020 12:00,02-07-2020 13:00,0.45
02-07-2020 13:00,02-07-2020 14:00,1
02-07-2020 14:00,02-07-2020 15:00,0.78
02-07-2020 15:00,02-07-2020 16:00,5.25
02-07-2020 16:00,02-07-2020 17:00,2.6
02-07-2020 17:00,02-07-2020 18:00,2.83
02-07-2020 18:00,02-07-2020 19:00,3.4
02-07-2020 19:00,02-07-2020 20:00,3.65
02-07-2020 20:00,02-07-2020 21:00,3.38
02-07-2020 21:00,02-07-2020 22:00,3.43
02-07-2020 22:00,02-07-2020 23:00,3.75
02-07-2020 23:00,03-07-2020 00:00,4.28
03-07-2020 00:00,03-07-2020 01:00,4.61
03-07-2020 01:00,03-07-2020 02:00,3.84
03-07-2020 02:00,03-07-2020 03:00,3.83
03-07-2020 03:00,03-07-2020 04:00,3.64
03-07-2020 04:00,03-07-2020 05:00,4.34
03-07-2020 05:00,03-07-2020 06:00,5.95
03-07-2020 06:00,03-07-2020 07:00,7.39
03-07-2020 07:00,03-07-2020 08:00,None
03-07-2020 08:00,03-07-2020 09:00,None
03-07-2020 09:00,03-07-2020 10:00,None
03-07-2020 10:00,03-07-2020 11:00,None
03-07-2020 11:00,03-07-2020 12:00,None
03-07-2020 12:00,03-07-2020 13:00,3.58
03-07-2020 13:00,03-07-2020 14:00,3.16
03-07-2020 14:00,03-07-2020 15:00,2.67
03-07-2020 15:00,03-07-2020 16:00,2.16
03-07-2020 16:00,03-07-2020 17:00,1.86
03-07-2020 17:00,03-07-2020 18:00,1.77
03-07-2020 18:00,03-07-2020 19:00,1.5
03-07-2020 19:00,03-07-2020 20:00,3.67
03-07-2020 20:00,03-07-2020 21:00,7.45
03-07-2020 21:00,03-07-2020 22:00,9.98
03-07-2020 22:00,03-07-2020 23:00,11.59
03-07-2020 23:00,04-07-2020 00:00,12
04-07-2020 00:00,04-07-2020 01:00,12.14
04-07-2020 01:00,04-07-2020 02:00,12.67
04-07-2020 02:00,04-07-2020 03:00,12.94
04-07-2020 03:00,04-07-2020 04:00,13
04-07-2020 04:00,04-07-2020 05:00,12.82
04-07-2020 05:00,04-07-2020 06:00,14.25
04-07-2020 06:00,04-07-2020 07:00,14
04-07-2020 07:00,04-07-2020 08:00,14.73
04-07-2020 08:00,04-07-2020 09:00,14.33
04-07-2020 09:00,04-07-2020 10:00,14.06
04-07-2020 10:00,04-07-2020 11:00,14.52
04-07-2020 11:00,04-07-2020 12:00,13.78
04-07-2020 12:00,04-07-2020 13:00,13.62
04-07-2020 13:00,04-07-2020 14:00,14.65
04-07-2020 14:00,04-07-2020 15:00,15.46
04-07-2020 15:00,04-07-2020 16:00,16.76
04-07-2020 16:00,04-07-2020 17:00,17.9
04-07-2020 17:00,04-07-2020 18:00,19.02
04-07-2020 18:00,04-07-2020 19:00,19.74
04-07-2020 19:00,04-07-2020 20:00,20.79
04-07-2020 20:00,04-07-2020 21:00,21.62
04-07-2020 21:00,04-07-2020 22:00,21.86
04-07-2020 22:00,04-07-2020 23:00,22.3
04-07-2020 23:00,05-07-2020 00:00,22.73
05-07-2020 00:00,05-07-2020 01:00,22.19
05-07-2020 01:00,05-07-2020 02:00,22.19
05-07-2020 02:00,05-07-2020 03:00,21.27
05-07-2020 03:00,05-07-2020 04:00,21.23
05-07-2020 04:00,05-07-2020 05:00,21.99
05-07-2020 05:00,05-07-2020 06:00,21.47
05-07-2020 06:00,05-07-2020 07:00,20.74
05-07-2020 07:00,05-07-2020 08:00,19.95
05-07-2020 08:00,05-07-2020 09:00,18.9
05-07-2020 09:00,05-07-2020 10:00,17.79
05-07-2020 10:00,05-07-2020 11:00,16.54
