From date,To date,Govt. High School Shikarpur  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,127.49
01-07-2020 01:00,01-07-2020 02:00,274.63
01-07-2020 02:00,01-07-2020 03:00,439.51
01-07-2020 03:00,01-07-2020 04:00,590.03
01-07-2020 04:00,01-07-2020 05:00,351.43
01-07-2020 05:00,01-07-2020 06:00,115.85
01-07-2020 06:00,01-07-2020 07:00,None
01-07-2020 07:00,01-07-2020 08:00,None
01-07-2020 08:00,01-07-2020 09:00,None
01-07-2020 09:00,01-07-2020 10:00,99.34
01-07-2020 10:00,01-07-2020 11:00,124.84
01-07-2020 11:00,01-07-2020 12:00,115.45
01-07-2020 12:00,01-07-2020 13:00,77.49
01-07-2020 13:00,01-07-2020 14:00,78.34
01-07-2020 14:00,01-07-2020 15:00,119.66
01-07-2020 15:00,01-07-2020 16:00,182.96
01-07-2020 16:00,01-07-2020 17:00,185.28
01-07-2020 17:00,01-07-2020 18:00,None
01-07-2020 18:00,01-07-2020 19:00,72.86
01-07-2020 19:00,01-07-2020 20:00,127.81
01-07-2020 20:00,01-07-2020 21:00,266.65
01-07-2020 21:00,01-07-2020 22:00,281.62
01-07-2020 22:00,01-07-2020 23:00,None
01-07-2020 23:00,02-07-2020 00:00,109.62
02-07-2020 00:00,02-07-2020 01:00,106.38
02-07-2020 01:00,02-07-2020 02:00,624.51
02-07-2020 02:00,02-07-2020 03:00,923.67
02-07-2020 03:00,02-07-2020 04:00,873.58
02-07-2020 04:00,02-07-2020 05:00,None
02-07-2020 05:00,02-07-2020 06:00,None
02-07-2020 06:00,02-07-2020 07:00,None
02-07-2020 07:00,02-07-2020 08:00,None
02-07-2020 08:00,02-07-2020 09:00,None
02-07-2020 09:00,02-07-2020 10:00,None
02-07-2020 10:00,02-07-2020 11:00,63.32
02-07-2020 11:00,02-07-2020 12:00,83.54
02-07-2020 12:00,02-07-2020 13:00,84.92
02-07-2020 13:00,02-07-2020 14:00,72.55
02-07-2020 14:00,02-07-2020 15:00,60.95
02-07-2020 15:00,02-07-2020 16:00,58.66
02-07-2020 16:00,02-07-2020 17:00,75.61
02-07-2020 17:00,02-07-2020 18:00,69.81
02-07-2020 18:00,02-07-2020 19:00,67.11
02-07-2020 19:00,02-07-2020 20:00,None
02-07-2020 20:00,02-07-2020 21:00,None
02-07-2020 21:00,02-07-2020 22:00,177.07
02-07-2020 22:00,02-07-2020 23:00,None
02-07-2020 23:00,03-07-2020 00:00,89.84
03-07-2020 00:00,03-07-2020 01:00,None
03-07-2020 01:00,03-07-2020 02:00,305.64
03-07-2020 02:00,03-07-2020 03:00,577.05
03-07-2020 03:00,03-07-2020 04:00,668.61
03-07-2020 04:00,03-07-2020 05:00,576.78
03-07-2020 05:00,03-07-2020 06:00,460.57
03-07-2020 06:00,03-07-2020 07:00,352.86
03-07-2020 07:00,03-07-2020 08:00,None
03-07-2020 08:00,03-07-2020 09:00,None
03-07-2020 09:00,03-07-2020 10:00,39.83
03-07-2020 10:00,03-07-2020 11:00,162.94
03-07-2020 11:00,03-07-2020 12:00,269.48
03-07-2020 12:00,03-07-2020 13:00,211.51
03-07-2020 13:00,03-07-2020 14:00,110.13
03-07-2020 14:00,03-07-2020 15:00,64.98
03-07-2020 15:00,03-07-2020 16:00,97.78
03-07-2020 16:00,03-07-2020 17:00,126.39
03-07-2020 17:00,03-07-2020 18:00,150.41
03-07-2020 18:00,03-07-2020 19:00,148.72
03-07-2020 19:00,03-07-2020 20:00,None
03-07-2020 20:00,03-07-2020 21:00,None
03-07-2020 21:00,03-07-2020 22:00,23.47
03-07-2020 22:00,03-07-2020 23:00,None
03-07-2020 23:00,04-07-2020 00:00,None
04-07-2020 00:00,04-07-2020 01:00,None
04-07-2020 01:00,04-07-2020 02:00,60.69
04-07-2020 02:00,04-07-2020 03:00,213.12
04-07-2020 03:00,04-07-2020 04:00,674.53
04-07-2020 04:00,04-07-2020 05:00,690.95
04-07-2020 05:00,04-07-2020 06:00,444.55
04-07-2020 06:00,04-07-2020 07:00,239.77
04-07-2020 07:00,04-07-2020 08:00,107.91
04-07-2020 08:00,04-07-2020 09:00,None
04-07-2020 09:00,04-07-2020 10:00,None
04-07-2020 10:00,04-07-2020 11:00,42.81
