,From date,To date,IGSC Planetarium Complex  Patna - BSPCB
1,01-07-2020 00:00,01-07-2020 01:00,
2,01-07-2020 01:00,01-07-2020 02:00,
3,01-07-2020 02:00,01-07-2020 03:00,
4,01-07-2020 03:00,01-07-2020 04:00,
5,01-07-2020 04:00,01-07-2020 05:00,
6,01-07-2020 05:00,01-07-2020 06:00,
7,01-07-2020 06:00,01-07-2020 07:00,
8,01-07-2020 07:00,01-07-2020 08:00,
9,01-07-2020 08:00,01-07-2020 09:00,
10,01-07-2020 09:00,01-07-2020 10:00,
11,01-07-2020 10:00,01-07-2020 11:00,
12,01-07-2020 11:00,01-07-2020 12:00,
13,01-07-2020 12:00,01-07-2020 13:00,
14,01-07-2020 13:00,01-07-2020 14:00,
15,01-07-2020 14:00,01-07-2020 15:00,
16,01-07-2020 15:00,01-07-2020 16:00,
17,01-07-2020 16:00,01-07-2020 17:00,
18,01-07-2020 17:00,01-07-2020 18:00,
19,01-07-2020 18:00,01-07-2020 19:00,
20,01-07-2020 19:00,01-07-2020 20:00,
21,01-07-2020 20:00,01-07-2020 21:00,
22,01-07-2020 21:00,01-07-2020 22:00,
23,01-07-2020 22:00,01-07-2020 23:00,
24,01-07-2020 23:00,02-07-2020 00:00,
25,02-07-2020 00:00,02-07-2020 01:00,
26,02-07-2020 01:00,02-07-2020 02:00,
27,02-07-2020 02:00,02-07-2020 03:00,
28,02-07-2020 03:00,02-07-2020 04:00,
29,02-07-2020 04:00,02-07-2020 05:00,
30,02-07-2020 05:00,02-07-2020 06:00,
31,02-07-2020 06:00,02-07-2020 07:00,
32,02-07-2020 07:00,02-07-2020 08:00,
33,02-07-2020 08:00,02-07-2020 09:00,
34,02-07-2020 09:00,02-07-2020 10:00,
35,02-07-2020 10:00,02-07-2020 11:00,
36,02-07-2020 11:00,02-07-2020 12:00,
37,02-07-2020 12:00,02-07-2020 13:00,
38,02-07-2020 13:00,02-07-2020 14:00,
39,02-07-2020 14:00,02-07-2020 15:00,
40,02-07-2020 15:00,02-07-2020 16:00,
41,02-07-2020 16:00,02-07-2020 17:00,
42,02-07-2020 17:00,02-07-2020 18:00,
43,02-07-2020 18:00,02-07-2020 19:00,
44,02-07-2020 19:00,02-07-2020 20:00,
45,02-07-2020 20:00,02-07-2020 21:00,
46,02-07-2020 21:00,02-07-2020 22:00,
47,02-07-2020 22:00,02-07-2020 23:00,
48,02-07-2020 23:00,03-07-2020 00:00,
49,03-07-2020 00:00,03-07-2020 01:00,
50,03-07-2020 01:00,03-07-2020 02:00,
