From date,To date,Muradpur  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,95.12
01-07-2020 01:00,01-07-2020 02:00,86.58
01-07-2020 02:00,01-07-2020 03:00,79.84
01-07-2020 03:00,01-07-2020 04:00,77.83
01-07-2020 04:00,01-07-2020 05:00,81.18
01-07-2020 05:00,01-07-2020 06:00,85.46
01-07-2020 06:00,01-07-2020 07:00,84.99
01-07-2020 07:00,01-07-2020 08:00,83.1
01-07-2020 08:00,01-07-2020 09:00,89.87
01-07-2020 09:00,01-07-2020 10:00,85.78
01-07-2020 10:00,01-07-2020 11:00,89.19
01-07-2020 11:00,01-07-2020 12:00,91.02
01-07-2020 12:00,01-07-2020 13:00,94.56
01-07-2020 13:00,01-07-2020 14:00,92.84
01-07-2020 14:00,01-07-2020 15:00,93.53
01-07-2020 15:00,01-07-2020 16:00,97.29
01-07-2020 16:00,01-07-2020 17:00,97.72
01-07-2020 17:00,01-07-2020 18:00,104.14
01-07-2020 18:00,01-07-2020 19:00,106.97
01-07-2020 19:00,01-07-2020 20:00,111.81
01-07-2020 20:00,01-07-2020 21:00,141.66
01-07-2020 21:00,01-07-2020 22:00,150.09
01-07-2020 22:00,01-07-2020 23:00,153.43
01-07-2020 23:00,02-07-2020 00:00,153.76
02-07-2020 00:00,02-07-2020 01:00,145.78
02-07-2020 01:00,02-07-2020 02:00,131.6
02-07-2020 02:00,02-07-2020 03:00,123.75
02-07-2020 03:00,02-07-2020 04:00,114.63
02-07-2020 04:00,02-07-2020 05:00,110.16
02-07-2020 05:00,02-07-2020 06:00,104.01
02-07-2020 06:00,02-07-2020 07:00,105.91
02-07-2020 07:00,02-07-2020 08:00,110.75
02-07-2020 08:00,02-07-2020 09:00,114.12
02-07-2020 09:00,02-07-2020 10:00,117.03
02-07-2020 10:00,02-07-2020 11:00,106.06
02-07-2020 11:00,02-07-2020 12:00,104.14
02-07-2020 12:00,02-07-2020 13:00,99.67
02-07-2020 13:00,02-07-2020 14:00,101.81
02-07-2020 14:00,02-07-2020 15:00,101.61
02-07-2020 15:00,02-07-2020 16:00,94.29
02-07-2020 16:00,02-07-2020 17:00,97.21
02-07-2020 17:00,02-07-2020 18:00,86.13
02-07-2020 18:00,02-07-2020 19:00,77.58
02-07-2020 19:00,02-07-2020 20:00,77.57
02-07-2020 20:00,02-07-2020 21:00,80.74
02-07-2020 21:00,02-07-2020 22:00,77.85
02-07-2020 22:00,02-07-2020 23:00,76.02
02-07-2020 23:00,03-07-2020 00:00,84.6
03-07-2020 00:00,03-07-2020 01:00,75.79
03-07-2020 01:00,03-07-2020 02:00,69.31
03-07-2020 02:00,03-07-2020 03:00,73.44
03-07-2020 03:00,03-07-2020 04:00,74.5
03-07-2020 04:00,03-07-2020 05:00,66.08
03-07-2020 05:00,03-07-2020 06:00,58.69
03-07-2020 06:00,03-07-2020 07:00,55.16
03-07-2020 07:00,03-07-2020 08:00,64.06
03-07-2020 08:00,03-07-2020 09:00,66.72
03-07-2020 09:00,03-07-2020 10:00,60.86
03-07-2020 10:00,03-07-2020 11:00,61.28
03-07-2020 11:00,03-07-2020 12:00,60.86
03-07-2020 12:00,03-07-2020 13:00,65.49
03-07-2020 13:00,03-07-2020 14:00,62.75
03-07-2020 14:00,03-07-2020 15:00,66.85
03-07-2020 15:00,03-07-2020 16:00,73.03
03-07-2020 16:00,03-07-2020 17:00,99.51
03-07-2020 17:00,03-07-2020 18:00,77.5
03-07-2020 18:00,03-07-2020 19:00,66.2
03-07-2020 19:00,03-07-2020 20:00,67.03
03-07-2020 20:00,03-07-2020 21:00,69.35
03-07-2020 21:00,03-07-2020 22:00,68.71
03-07-2020 22:00,03-07-2020 23:00,63.53
03-07-2020 23:00,04-07-2020 00:00,67.78
04-07-2020 00:00,04-07-2020 01:00,56.94
04-07-2020 01:00,04-07-2020 02:00,58.98
04-07-2020 02:00,04-07-2020 03:00,54.72
04-07-2020 03:00,04-07-2020 04:00,61.04
04-07-2020 04:00,04-07-2020 05:00,61.55
04-07-2020 05:00,04-07-2020 06:00,63.2
04-07-2020 06:00,04-07-2020 07:00,60.06
04-07-2020 07:00,04-07-2020 08:00,61.16
04-07-2020 08:00,04-07-2020 09:00,63.91
04-07-2020 09:00,04-07-2020 10:00,60.08
04-07-2020 10:00,04-07-2020 11:00,59.94
04-07-2020 11:00,04-07-2020 12:00,61.03
04-07-2020 12:00,04-07-2020 13:00,70.3
04-07-2020 13:00,04-07-2020 14:00,58.83
04-07-2020 14:00,04-07-2020 15:00,54.23
04-07-2020 15:00,04-07-2020 16:00,49.15
04-07-2020 16:00,04-07-2020 17:00,44.58
04-07-2020 17:00,04-07-2020 18:00,42.86
04-07-2020 18:00,04-07-2020 19:00,52.22
04-07-2020 19:00,04-07-2020 20:00,44.18
04-07-2020 20:00,04-07-2020 21:00,42.48
04-07-2020 21:00,04-07-2020 22:00,38.95
04-07-2020 22:00,04-07-2020 23:00,41.77
04-07-2020 23:00,05-07-2020 00:00,48.44
05-07-2020 00:00,05-07-2020 01:00,54.09
05-07-2020 01:00,05-07-2020 02:00,54.18
05-07-2020 02:00,05-07-2020 03:00,51.04
05-07-2020 03:00,05-07-2020 04:00,53.64
05-07-2020 04:00,05-07-2020 05:00,56.64
05-07-2020 05:00,05-07-2020 06:00,54.78
05-07-2020 06:00,05-07-2020 07:00,48.36
05-07-2020 07:00,05-07-2020 08:00,55.21
05-07-2020 08:00,05-07-2020 09:00,58.96
05-07-2020 09:00,05-07-2020 10:00,49.14
05-07-2020 10:00,05-07-2020 11:00,47.03
05-07-2020 11:00,05-07-2020 12:00,42.49
05-07-2020 12:00,05-07-2020 13:00,39.45
05-07-2020 13:00,05-07-2020 14:00,43.61
05-07-2020 14:00,05-07-2020 15:00,45.61
05-07-2020 15:00,05-07-2020 16:00,45.92
05-07-2020 16:00,05-07-2020 17:00,47.09
05-07-2020 17:00,05-07-2020 18:00,40.62
05-07-2020 18:00,05-07-2020 19:00,39.33
05-07-2020 19:00,05-07-2020 20:00,41.98
05-07-2020 20:00,05-07-2020 21:00,46.66
05-07-2020 21:00,05-07-2020 22:00,43.39
05-07-2020 22:00,05-07-2020 23:00,63.62
05-07-2020 23:00,06-07-2020 00:00,61.87
06-07-2020 00:00,06-07-2020 01:00,56.25
06-07-2020 01:00,06-07-2020 02:00,55.78
06-07-2020 02:00,06-07-2020 03:00,52.76
06-07-2020 03:00,06-07-2020 04:00,50.77
06-07-2020 04:00,06-07-2020 05:00,48.55
06-07-2020 05:00,06-07-2020 06:00,48.5
06-07-2020 06:00,06-07-2020 07:00,45.87
06-07-2020 07:00,06-07-2020 08:00,40.05
06-07-2020 08:00,06-07-2020 09:00,40.63
06-07-2020 09:00,06-07-2020 10:00,45.85
06-07-2020 10:00,06-07-2020 11:00,47.9
06-07-2020 11:00,06-07-2020 12:00,53.08
06-07-2020 12:00,06-07-2020 13:00,50.34
06-07-2020 13:00,06-07-2020 14:00,46.64
06-07-2020 14:00,06-07-2020 15:00,51.35
06-07-2020 15:00,06-07-2020 16:00,42.95
06-07-2020 16:00,06-07-2020 17:00,41.81
06-07-2020 17:00,06-07-2020 18:00,40
06-07-2020 18:00,06-07-2020 19:00,45.06
06-07-2020 19:00,06-07-2020 20:00,42.28
06-07-2020 20:00,06-07-2020 21:00,43.95
06-07-2020 21:00,06-07-2020 22:00,43.12
06-07-2020 22:00,06-07-2020 23:00,36.85
06-07-2020 23:00,07-07-2020 00:00,32.76
07-07-2020 00:00,07-07-2020 01:00,37.44
07-07-2020 01:00,07-07-2020 02:00,35.39
07-07-2020 02:00,07-07-2020 03:00,40.26
07-07-2020 03:00,07-07-2020 04:00,36.04
07-07-2020 04:00,07-07-2020 05:00,39.28
07-07-2020 05:00,07-07-2020 06:00,33.94
07-07-2020 06:00,07-07-2020 07:00,31.35
07-07-2020 07:00,07-07-2020 08:00,34.19
07-07-2020 08:00,07-07-2020 09:00,33.8
07-07-2020 09:00,07-07-2020 10:00,41.68
07-07-2020 10:00,07-07-2020 11:00,40.86
07-07-2020 11:00,07-07-2020 12:00,44.8
07-07-2020 12:00,07-07-2020 13:00,49.69
07-07-2020 13:00,07-07-2020 14:00,47.5
07-07-2020 14:00,07-07-2020 15:00,41.37
07-07-2020 15:00,07-07-2020 16:00,41.53
07-07-2020 16:00,07-07-2020 17:00,41.49
07-07-2020 17:00,07-07-2020 18:00,43.4
