From date,To date,Rajbansi Nagar  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,17.44
01-07-2020 01:00,01-07-2020 02:00,17.99
01-07-2020 02:00,01-07-2020 03:00,17.02
01-07-2020 03:00,01-07-2020 04:00,11.92
01-07-2020 04:00,01-07-2020 05:00,8.85
01-07-2020 05:00,01-07-2020 06:00,None
01-07-2020 06:00,01-07-2020 07:00,None
01-07-2020 07:00,01-07-2020 08:00,None
01-07-2020 08:00,01-07-2020 09:00,None
01-07-2020 09:00,01-07-2020 10:00,8.8
01-07-2020 10:00,01-07-2020 11:00,12.95
01-07-2020 11:00,01-07-2020 12:00,14.17
01-07-2020 12:00,01-07-2020 13:00,12.54
01-07-2020 13:00,01-07-2020 14:00,18.36
01-07-2020 14:00,01-07-2020 15:00,25.17
01-07-2020 15:00,01-07-2020 16:00,23.48
01-07-2020 16:00,01-07-2020 17:00,23.48
01-07-2020 17:00,01-07-2020 18:00,23.48
01-07-2020 18:00,01-07-2020 19:00,23.48
01-07-2020 19:00,01-07-2020 20:00,23.48
01-07-2020 20:00,01-07-2020 21:00,23.48
01-07-2020 21:00,01-07-2020 22:00,28.05
01-07-2020 22:00,01-07-2020 23:00,23.85
01-07-2020 23:00,02-07-2020 00:00,24.88
02-07-2020 00:00,02-07-2020 01:00,22.49
02-07-2020 01:00,02-07-2020 02:00,17.13
02-07-2020 02:00,02-07-2020 03:00,12.84
02-07-2020 03:00,02-07-2020 04:00,11.49
02-07-2020 04:00,02-07-2020 05:00,11.25
02-07-2020 05:00,02-07-2020 06:00,10.54
02-07-2020 06:00,02-07-2020 07:00,13.7
02-07-2020 07:00,02-07-2020 08:00,14.15
02-07-2020 08:00,02-07-2020 09:00,48.55
02-07-2020 09:00,02-07-2020 10:00,58.95
02-07-2020 10:00,02-07-2020 11:00,52.96
02-07-2020 11:00,02-07-2020 12:00,50.57
02-07-2020 12:00,02-07-2020 13:00,57.37
02-07-2020 13:00,02-07-2020 14:00,59.24
02-07-2020 14:00,02-07-2020 15:00,56.24
02-07-2020 15:00,02-07-2020 16:00,51.67
02-07-2020 16:00,02-07-2020 17:00,44.43
02-07-2020 17:00,02-07-2020 18:00,33.37
02-07-2020 18:00,02-07-2020 19:00,33.85
02-07-2020 19:00,02-07-2020 20:00,29
02-07-2020 20:00,02-07-2020 21:00,21.97
02-07-2020 21:00,02-07-2020 22:00,21.7
02-07-2020 22:00,02-07-2020 23:00,20.3
02-07-2020 23:00,03-07-2020 00:00,15.37
03-07-2020 00:00,03-07-2020 01:00,19.91
03-07-2020 01:00,03-07-2020 02:00,18.39
03-07-2020 02:00,03-07-2020 03:00,19.01
03-07-2020 03:00,03-07-2020 04:00,19.69
03-07-2020 04:00,03-07-2020 05:00,None
03-07-2020 05:00,03-07-2020 06:00,None
03-07-2020 06:00,03-07-2020 07:00,None
03-07-2020 07:00,03-07-2020 08:00,None
03-07-2020 08:00,03-07-2020 09:00,None
03-07-2020 09:00,03-07-2020 10:00,None
03-07-2020 10:00,03-07-2020 11:00,None
03-07-2020 11:00,03-07-2020 12:00,None
03-07-2020 12:00,03-07-2020 13:00,None
03-07-2020 13:00,03-07-2020 14:00,None
03-07-2020 14:00,03-07-2020 15:00,None
03-07-2020 15:00,03-07-2020 16:00,17.57
03-07-2020 16:00,03-07-2020 17:00,22.63
03-07-2020 17:00,03-07-2020 18:00,19.48
03-07-2020 18:00,03-07-2020 19:00,14.31
03-07-2020 19:00,03-07-2020 20:00,11.04
03-07-2020 20:00,03-07-2020 21:00,12.96
03-07-2020 21:00,03-07-2020 22:00,16.55
03-07-2020 22:00,03-07-2020 23:00,21.46
03-07-2020 23:00,04-07-2020 00:00,27.66
04-07-2020 00:00,04-07-2020 01:00,30.63
04-07-2020 01:00,04-07-2020 02:00,25.38
04-07-2020 02:00,04-07-2020 03:00,23.52
04-07-2020 03:00,04-07-2020 04:00,21.31
04-07-2020 04:00,04-07-2020 05:00,18.47
04-07-2020 05:00,04-07-2020 06:00,14.57
04-07-2020 06:00,04-07-2020 07:00,10.48
04-07-2020 07:00,04-07-2020 08:00,7.53
04-07-2020 08:00,04-07-2020 09:00,8.88
04-07-2020 09:00,04-07-2020 10:00,11.37
04-07-2020 10:00,04-07-2020 11:00,11.08
04-07-2020 11:00,04-07-2020 12:00,12.73
04-07-2020 12:00,04-07-2020 13:00,12.59
04-07-2020 13:00,04-07-2020 14:00,23.12
04-07-2020 14:00,04-07-2020 15:00,19.12
04-07-2020 15:00,04-07-2020 16:00,14.33
04-07-2020 16:00,04-07-2020 17:00,18.11
04-07-2020 17:00,04-07-2020 18:00,17.22
04-07-2020 18:00,04-07-2020 19:00,14.98
04-07-2020 19:00,04-07-2020 20:00,12.04
04-07-2020 20:00,04-07-2020 21:00,14.31
04-07-2020 21:00,04-07-2020 22:00,17.04
04-07-2020 22:00,04-07-2020 23:00,13.93
04-07-2020 23:00,05-07-2020 00:00,10.93
05-07-2020 00:00,05-07-2020 01:00,15.25
05-07-2020 01:00,05-07-2020 02:00,17.77
05-07-2020 02:00,05-07-2020 03:00,16.18
05-07-2020 03:00,05-07-2020 04:00,12.2
05-07-2020 04:00,05-07-2020 05:00,9.77
05-07-2020 05:00,05-07-2020 06:00,15.68
05-07-2020 06:00,05-07-2020 07:00,19.69
05-07-2020 07:00,05-07-2020 08:00,18.99
05-07-2020 08:00,05-07-2020 09:00,25.38
05-07-2020 09:00,05-07-2020 10:00,24.69
