From date,To date,Samanpura  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,59.04
01-07-2020 01:00,01-07-2020 02:00,60.33
01-07-2020 02:00,01-07-2020 03:00,71.86
01-07-2020 03:00,01-07-2020 04:00,74.85
01-07-2020 04:00,01-07-2020 05:00,69.02
01-07-2020 05:00,01-07-2020 06:00,64.74
01-07-2020 06:00,01-07-2020 07:00,67.62
01-07-2020 07:00,01-07-2020 08:00,66.69
01-07-2020 08:00,01-07-2020 09:00,67.6
01-07-2020 09:00,01-07-2020 10:00,67.76
01-07-2020 10:00,01-07-2020 11:00,72.51
01-07-2020 11:00,01-07-2020 12:00,72.45
01-07-2020 12:00,01-07-2020 13:00,69.94
01-07-2020 13:00,01-07-2020 14:00,69.79
01-07-2020 14:00,01-07-2020 15:00,92.04
01-07-2020 15:00,01-07-2020 16:00,92.43
01-07-2020 16:00,01-07-2020 17:00,84.69
01-07-2020 17:00,01-07-2020 18:00,78.03
01-07-2020 18:00,01-07-2020 19:00,77.58
01-07-2020 19:00,01-07-2020 20:00,81.31
01-07-2020 20:00,01-07-2020 21:00,93.97
01-07-2020 21:00,01-07-2020 22:00,112.88
01-07-2020 22:00,01-07-2020 23:00,138.36
01-07-2020 23:00,02-07-2020 00:00,130.68
02-07-2020 00:00,02-07-2020 01:00,121.08
02-07-2020 01:00,02-07-2020 02:00,97.38
02-07-2020 02:00,02-07-2020 03:00,92.39
02-07-2020 03:00,02-07-2020 04:00,94.37
02-07-2020 04:00,02-07-2020 05:00,79.31
02-07-2020 05:00,02-07-2020 06:00,70.88
02-07-2020 06:00,02-07-2020 07:00,69.07
02-07-2020 07:00,02-07-2020 08:00,77.38
02-07-2020 08:00,02-07-2020 09:00,76.57
02-07-2020 09:00,02-07-2020 10:00,82.01
02-07-2020 10:00,02-07-2020 11:00,83.82
02-07-2020 11:00,02-07-2020 12:00,87.19
02-07-2020 12:00,02-07-2020 13:00,89.02
02-07-2020 13:00,02-07-2020 14:00,71.84
02-07-2020 14:00,02-07-2020 15:00,67.6
02-07-2020 15:00,02-07-2020 16:00,67.14
02-07-2020 16:00,02-07-2020 17:00,58.2
02-07-2020 17:00,02-07-2020 18:00,50.78
02-07-2020 18:00,02-07-2020 19:00,57.84
02-07-2020 19:00,02-07-2020 20:00,68.82
02-07-2020 20:00,02-07-2020 21:00,68.74
02-07-2020 21:00,02-07-2020 22:00,69.7
02-07-2020 22:00,02-07-2020 23:00,67.49
02-07-2020 23:00,03-07-2020 00:00,63.97
03-07-2020 00:00,03-07-2020 01:00,64.67
03-07-2020 01:00,03-07-2020 02:00,63.75
03-07-2020 02:00,03-07-2020 03:00,60.08
03-07-2020 03:00,03-07-2020 04:00,62.4
03-07-2020 04:00,03-07-2020 05:00,51.84
03-07-2020 05:00,03-07-2020 06:00,42.78
03-07-2020 06:00,03-07-2020 07:00,39.13
03-07-2020 07:00,03-07-2020 08:00,39.54
03-07-2020 08:00,03-07-2020 09:00,55.02
03-07-2020 09:00,03-07-2020 10:00,50.3
03-07-2020 10:00,03-07-2020 11:00,53.41
03-07-2020 11:00,03-07-2020 12:00,53.77
03-07-2020 12:00,03-07-2020 13:00,55.91
03-07-2020 13:00,03-07-2020 14:00,59.17
03-07-2020 14:00,03-07-2020 15:00,60.5
03-07-2020 15:00,03-07-2020 16:00,66.29
03-07-2020 16:00,03-07-2020 17:00,57.6
03-07-2020 17:00,03-07-2020 18:00,54.62
03-07-2020 18:00,03-07-2020 19:00,44.14
03-07-2020 19:00,03-07-2020 20:00,37.45
03-07-2020 20:00,03-07-2020 21:00,38.15
03-07-2020 21:00,03-07-2020 22:00,35.97
03-07-2020 22:00,03-07-2020 23:00,35.56
03-07-2020 23:00,04-07-2020 00:00,41.61
04-07-2020 00:00,04-07-2020 01:00,37.53
04-07-2020 01:00,04-07-2020 02:00,38.06
04-07-2020 02:00,04-07-2020 03:00,None
04-07-2020 03:00,04-07-2020 04:00,43.82
04-07-2020 04:00,04-07-2020 05:00,52.89
04-07-2020 05:00,04-07-2020 06:00,53.75
04-07-2020 06:00,04-07-2020 07:00,50.95
04-07-2020 07:00,04-07-2020 08:00,48.72
04-07-2020 08:00,04-07-2020 09:00,47.52
04-07-2020 09:00,04-07-2020 10:00,44.16
04-07-2020 10:00,04-07-2020 11:00,44.44
04-07-2020 11:00,04-07-2020 12:00,40.27
04-07-2020 12:00,04-07-2020 13:00,39.09
04-07-2020 13:00,04-07-2020 14:00,35.75
04-07-2020 14:00,04-07-2020 15:00,21.36
04-07-2020 15:00,04-07-2020 16:00,None
04-07-2020 16:00,04-07-2020 17:00,19.15
04-07-2020 17:00,04-07-2020 18:00,18.74
04-07-2020 18:00,04-07-2020 19:00,24.91
04-07-2020 19:00,04-07-2020 20:00,31.63
04-07-2020 20:00,04-07-2020 21:00,35.54
04-07-2020 21:00,04-07-2020 22:00,34.78
04-07-2020 22:00,04-07-2020 23:00,29.01
04-07-2020 23:00,05-07-2020 00:00,31.12
05-07-2020 00:00,05-07-2020 01:00,30.29
05-07-2020 01:00,05-07-2020 02:00,30.24
05-07-2020 02:00,05-07-2020 03:00,32.21
05-07-2020 03:00,05-07-2020 04:00,32.82
05-07-2020 04:00,05-07-2020 05:00,32.45
05-07-2020 05:00,05-07-2020 06:00,33.7
05-07-2020 06:00,05-07-2020 07:00,28.91
05-07-2020 07:00,05-07-2020 08:00,33.18
05-07-2020 08:00,05-07-2020 09:00,27.93
05-07-2020 09:00,05-07-2020 10:00,27.08
05-07-2020 10:00,05-07-2020 11:00,30.71
05-07-2020 11:00,05-07-2020 12:00,32.75
05-07-2020 12:00,05-07-2020 13:00,25.36
05-07-2020 13:00,05-07-2020 14:00,30.05
05-07-2020 14:00,05-07-2020 15:00,28.33
05-07-2020 15:00,05-07-2020 16:00,30.37
05-07-2020 16:00,05-07-2020 17:00,25.91
05-07-2020 17:00,05-07-2020 18:00,24.85
05-07-2020 18:00,05-07-2020 19:00,22.41
05-07-2020 19:00,05-07-2020 20:00,17.16
05-07-2020 20:00,05-07-2020 21:00,19.71
