From date,To date,Govt. High School Shikarpur  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,28.77
01-07-2020 01:00,01-07-2020 02:00,31.45
01-07-2020 02:00,01-07-2020 03:00,33.44
01-07-2020 03:00,01-07-2020 04:00,39.14
01-07-2020 04:00,01-07-2020 05:00,41.21
01-07-2020 05:00,01-07-2020 06:00,39.92
01-07-2020 06:00,01-07-2020 07:00,None
01-07-2020 07:00,01-07-2020 08:00,None
01-07-2020 08:00,01-07-2020 09:00,36.08
01-07-2020 09:00,01-07-2020 10:00,39.39
01-07-2020 10:00,01-07-2020 11:00,37.9
01-07-2020 11:00,01-07-2020 12:00,45.4
01-07-2020 12:00,01-07-2020 13:00,46.48
01-07-2020 13:00,01-07-2020 14:00,54.54
01-07-2020 14:00,01-07-2020 15:00,59.17
01-07-2020 15:00,01-07-2020 16:00,55.2
01-07-2020 16:00,01-07-2020 17:00,56.79
01-07-2020 17:00,01-07-2020 18:00,None
01-07-2020 18:00,01-07-2020 19:00,52.06
01-07-2020 19:00,01-07-2020 20:00,60.14
01-07-2020 20:00,01-07-2020 21:00,78.39
01-07-2020 21:00,01-07-2020 22:00,85.31
01-07-2020 22:00,01-07-2020 23:00,None
01-07-2020 23:00,02-07-2020 00:00,93.21
02-07-2020 00:00,02-07-2020 01:00,68.81
02-07-2020 01:00,02-07-2020 02:00,70.99
02-07-2020 02:00,02-07-2020 03:00,66.38
02-07-2020 03:00,02-07-2020 04:00,56.61
02-07-2020 04:00,02-07-2020 05:00,62.12
02-07-2020 05:00,02-07-2020 06:00,61.33
02-07-2020 06:00,02-07-2020 07:00,59.5
02-07-2020 07:00,02-07-2020 08:00,None
02-07-2020 08:00,02-07-2020 09:00,26.55
02-07-2020 09:00,02-07-2020 10:00,None
02-07-2020 10:00,02-07-2020 11:00,48.54
02-07-2020 11:00,02-07-2020 12:00,49.02
02-07-2020 12:00,02-07-2020 13:00,50.72
02-07-2020 13:00,02-07-2020 14:00,49.77
02-07-2020 14:00,02-07-2020 15:00,46.22
02-07-2020 15:00,02-07-2020 16:00,35.12
02-07-2020 16:00,02-07-2020 17:00,39.54
02-07-2020 17:00,02-07-2020 18:00,44.16
02-07-2020 18:00,02-07-2020 19:00,35.91
02-07-2020 19:00,02-07-2020 20:00,None
02-07-2020 20:00,02-07-2020 21:00,None
02-07-2020 21:00,02-07-2020 22:00,24.73
02-07-2020 22:00,02-07-2020 23:00,None
02-07-2020 23:00,03-07-2020 00:00,51.66
