,From date,To date,IGSC Planetarium Complex  Patna - BSPCB
1,01-07-2020 00:00,01-07-2020 01:00,55
2,01-07-2020 01:00,01-07-2020 02:00,41.75
3,01-07-2020 02:00,01-07-2020 03:00,48.25
4,01-07-2020 03:00,01-07-2020 04:00,54.25
5,01-07-2020 04:00,01-07-2020 05:00,63
6,01-07-2020 05:00,01-07-2020 06:00,71.5
7,01-07-2020 06:00,01-07-2020 07:00,75.75
8,01-07-2020 07:00,01-07-2020 08:00,63
9,01-07-2020 08:00,01-07-2020 09:00,57.5
10,01-07-2020 09:00,01-07-2020 10:00,70
11,01-07-2020 10:00,01-07-2020 11:00,78
12,01-07-2020 11:00,01-07-2020 12:00,84
13,01-07-2020 12:00,01-07-2020 13:00,84.25
14,01-07-2020 13:00,01-07-2020 14:00,80.75
15,01-07-2020 14:00,01-07-2020 15:00,64.5
16,01-07-2020 15:00,01-07-2020 16:00,56.75
17,01-07-2020 16:00,01-07-2020 17:00,68.5
18,01-07-2020 17:00,01-07-2020 18:00,74.5
19,01-07-2020 18:00,01-07-2020 19:00,58.5
20,01-07-2020 19:00,01-07-2020 20:00,56
21,01-07-2020 20:00,01-07-2020 21:00,78.5
22,01-07-2020 21:00,01-07-2020 22:00,106
23,01-07-2020 22:00,01-07-2020 23:00,112.75
24,01-07-2020 23:00,02-07-2020 00:00,83.75
25,02-07-2020 00:00,02-07-2020 01:00,68.25
26,02-07-2020 01:00,02-07-2020 02:00,60.75
27,02-07-2020 02:00,02-07-2020 03:00,60.5
28,02-07-2020 03:00,02-07-2020 04:00,54.5
29,02-07-2020 04:00,02-07-2020 05:00,61.5
30,02-07-2020 05:00,02-07-2020 06:00,72.75
31,02-07-2020 06:00,02-07-2020 07:00,88.25
32,02-07-2020 07:00,02-07-2020 08:00,93.75
33,02-07-2020 08:00,02-07-2020 09:00,71.25
34,02-07-2020 09:00,02-07-2020 10:00,67.75
35,02-07-2020 10:00,02-07-2020 11:00,64.25
36,02-07-2020 11:00,02-07-2020 12:00,64
37,02-07-2020 12:00,02-07-2020 13:00,57.75
38,02-07-2020 13:00,02-07-2020 14:00,53.25
39,02-07-2020 14:00,02-07-2020 15:00,69.5
40,02-07-2020 15:00,02-07-2020 16:00,68.25
41,02-07-2020 16:00,02-07-2020 17:00,54.25
42,02-07-2020 17:00,02-07-2020 18:00,37.25
43,02-07-2020 18:00,02-07-2020 19:00,42.75
44,02-07-2020 19:00,02-07-2020 20:00,51.75
45,02-07-2020 20:00,02-07-2020 21:00,35.25
46,02-07-2020 21:00,02-07-2020 22:00,35.75
47,02-07-2020 22:00,02-07-2020 23:00,56.25
48,02-07-2020 23:00,03-07-2020 00:00,85.75
49,03-07-2020 00:00,03-07-2020 01:00,60
50,03-07-2020 01:00,03-07-2020 02:00,48.25
51,03-07-2020 02:00,03-07-2020 03:00,43.5
52,03-07-2020 03:00,03-07-2020 04:00,29.5
53,03-07-2020 04:00,03-07-2020 05:00,36.75
54,03-07-2020 05:00,03-07-2020 06:00,36.5
55,03-07-2020 06:00,03-07-2020 07:00,52.5
56,03-07-2020 07:00,03-07-2020 08:00,87.75
57,03-07-2020 08:00,03-07-2020 09:00,59.5
58,03-07-2020 09:00,03-07-2020 10:00,47.75
59,03-07-2020 10:00,03-07-2020 11:00,38.5
60,03-07-2020 11:00,03-07-2020 12:00,31.5
61,03-07-2020 12:00,03-07-2020 13:00,62.75
62,03-07-2020 13:00,03-07-2020 14:00,70.5
63,03-07-2020 14:00,03-07-2020 15:00,65.5
64,03-07-2020 15:00,03-07-2020 16:00,55.75
65,03-07-2020 16:00,03-07-2020 17:00,54.25
66,03-07-2020 17:00,03-07-2020 18:00,40.5
67,03-07-2020 18:00,03-07-2020 19:00,29
68,03-07-2020 19:00,03-07-2020 20:00,20.75
69,03-07-2020 20:00,03-07-2020 21:00,35
70,03-07-2020 21:00,03-07-2020 22:00,43
71,03-07-2020 22:00,03-07-2020 23:00,51.25
72,03-07-2020 23:00,04-07-2020 00:00,75.75
73,04-07-2020 00:00,04-07-2020 01:00,46.5
74,04-07-2020 01:00,04-07-2020 02:00,41.5
75,04-07-2020 02:00,04-07-2020 03:00,38.75
76,04-07-2020 03:00,04-07-2020 04:00,37.25
77,04-07-2020 04:00,04-07-2020 05:00,45.5
78,04-07-2020 05:00,04-07-2020 06:00,50.75
79,04-07-2020 06:00,04-07-2020 07:00,61
80,04-07-2020 07:00,04-07-2020 08:00,77.25
81,04-07-2020 08:00,04-07-2020 09:00,51.75
82,04-07-2020 09:00,04-07-2020 10:00,44
83,04-07-2020 10:00,04-07-2020 11:00,38.25
84,04-07-2020 11:00,04-07-2020 12:00,30
85,04-07-2020 12:00,04-07-2020 13:00,23.75
86,04-07-2020 13:00,04-07-2020 14:00,9.25
87,04-07-2020 14:00,04-07-2020 15:00,33.25
88,04-07-2020 15:00,04-07-2020 16:00,60
89,04-07-2020 16:00,04-07-2020 17:00,38.5
90,04-07-2020 17:00,04-07-2020 18:00,37
91,04-07-2020 18:00,04-07-2020 19:00,36.25
92,04-07-2020 19:00,04-07-2020 20:00,32
93,04-07-2020 20:00,04-07-2020 21:00,26.25
94,04-07-2020 21:00,04-07-2020 22:00,30
95,04-07-2020 22:00,04-07-2020 23:00,48
96,04-07-2020 23:00,05-07-2020 00:00,69.25
97,05-07-2020 00:00,05-07-2020 01:00,50
98,05-07-2020 01:00,05-07-2020 02:00,44
99,05-07-2020 02:00,05-07-2020 03:00,38.75
100,05-07-2020 03:00,05-07-2020 04:00,23
101,05-07-2020 04:00,05-07-2020 05:00,23
102,05-07-2020 05:00,05-07-2020 06:00,25.5
103,05-07-2020 06:00,05-07-2020 07:00,40.25
104,05-07-2020 07:00,05-07-2020 08:00,55.5
105,05-07-2020 08:00,05-07-2020 09:00,36.25
106,05-07-2020 09:00,05-07-2020 10:00,36
107,05-07-2020 10:00,05-07-2020 11:00,30.5
108,05-07-2020 11:00,05-07-2020 12:00,22.75
109,05-07-2020 12:00,05-07-2020 13:00,21.5
110,05-07-2020 13:00,05-07-2020 14:00,19
111,05-07-2020 14:00,05-07-2020 15:00,20.25
112,05-07-2020 15:00,05-07-2020 16:00,34
113,05-07-2020 16:00,05-07-2020 17:00,34
114,05-07-2020 17:00,05-07-2020 18:00,21.75
115,05-07-2020 18:00,05-07-2020 19:00,13.75
116,05-07-2020 19:00,05-07-2020 20:00,17.75
117,05-07-2020 20:00,05-07-2020 21:00,17.25
118,05-07-2020 21:00,05-07-2020 22:00,30.75
119,05-07-2020 22:00,05-07-2020 23:00,50.25
120,05-07-2020 23:00,06-07-2020 00:00,67.25
121,06-07-2020 00:00,06-07-2020 01:00,40.25
122,06-07-2020 01:00,06-07-2020 02:00,29.75
123,06-07-2020 02:00,06-07-2020 03:00,29.25
124,06-07-2020 03:00,06-07-2020 04:00,19
125,06-07-2020 04:00,06-07-2020 05:00,15.25
126,06-07-2020 05:00,06-07-2020 06:00,23.75
127,06-07-2020 06:00,06-07-2020 07:00,34.5
128,06-07-2020 07:00,06-07-2020 08:00,49.5
129,06-07-2020 08:00,06-07-2020 09:00,41.75
130,06-07-2020 09:00,06-07-2020 10:00,31
131,06-07-2020 10:00,06-07-2020 11:00,26.25
132,06-07-2020 11:00,06-07-2020 12:00,19.5
