From date,To date,Muradpur  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,48.99
01-07-2020 01:00,01-07-2020 02:00,39.95
01-07-2020 02:00,01-07-2020 03:00,41.23
01-07-2020 03:00,01-07-2020 04:00,40.77
01-07-2020 04:00,01-07-2020 05:00,42.86
01-07-2020 05:00,01-07-2020 06:00,38.99
01-07-2020 06:00,01-07-2020 07:00,41.07
01-07-2020 07:00,01-07-2020 08:00,41.43
01-07-2020 08:00,01-07-2020 09:00,43.31
01-07-2020 09:00,01-07-2020 10:00,46.49
01-07-2020 10:00,01-07-2020 11:00,42.37
01-07-2020 11:00,01-07-2020 12:00,40.71
01-07-2020 12:00,01-07-2020 13:00,41.17
01-07-2020 13:00,01-07-2020 14:00,32.26
01-07-2020 14:00,01-07-2020 15:00,42.66
01-07-2020 15:00,01-07-2020 16:00,36.41
01-07-2020 16:00,01-07-2020 17:00,46.68
01-07-2020 17:00,01-07-2020 18:00,44.01
01-07-2020 18:00,01-07-2020 19:00,41.34
01-07-2020 19:00,01-07-2020 20:00,45.68
01-07-2020 20:00,01-07-2020 21:00,52.05
01-07-2020 21:00,01-07-2020 22:00,54.71
01-07-2020 22:00,01-07-2020 23:00,57.19
01-07-2020 23:00,02-07-2020 00:00,57.62
02-07-2020 00:00,02-07-2020 01:00,58.29
02-07-2020 01:00,02-07-2020 02:00,49.05
02-07-2020 02:00,02-07-2020 03:00,46.91
02-07-2020 03:00,02-07-2020 04:00,49.41
02-07-2020 04:00,02-07-2020 05:00,52.88
02-07-2020 05:00,02-07-2020 06:00,41.94
02-07-2020 06:00,02-07-2020 07:00,45.96
02-07-2020 07:00,02-07-2020 08:00,42.59
02-07-2020 08:00,02-07-2020 09:00,50.94
02-07-2020 09:00,02-07-2020 10:00,49.48
02-07-2020 10:00,02-07-2020 11:00,43.02
02-07-2020 11:00,02-07-2020 12:00,40.8
02-07-2020 12:00,02-07-2020 13:00,47.56
02-07-2020 13:00,02-07-2020 14:00,44.22
02-07-2020 14:00,02-07-2020 15:00,35.66
02-07-2020 15:00,02-07-2020 16:00,34.31
02-07-2020 16:00,02-07-2020 17:00,34.64
02-07-2020 17:00,02-07-2020 18:00,25.86
02-07-2020 18:00,02-07-2020 19:00,27.21
02-07-2020 19:00,02-07-2020 20:00,25.71
02-07-2020 20:00,02-07-2020 21:00,29.76
02-07-2020 21:00,02-07-2020 22:00,25.98
02-07-2020 22:00,02-07-2020 23:00,28.03
02-07-2020 23:00,03-07-2020 00:00,35.85
03-07-2020 00:00,03-07-2020 01:00,42.43
03-07-2020 01:00,03-07-2020 02:00,38.04
03-07-2020 02:00,03-07-2020 03:00,31.16
03-07-2020 03:00,03-07-2020 04:00,33.27
03-07-2020 04:00,03-07-2020 05:00,38.34
03-07-2020 05:00,03-07-2020 06:00,36.32
03-07-2020 06:00,03-07-2020 07:00,34.4
03-07-2020 07:00,03-07-2020 08:00,27.79
03-07-2020 08:00,03-07-2020 09:00,25.4
03-07-2020 09:00,03-07-2020 10:00,30.13
03-07-2020 10:00,03-07-2020 11:00,28.66
03-07-2020 11:00,03-07-2020 12:00,23.09
03-07-2020 12:00,03-07-2020 13:00,26.23
03-07-2020 13:00,03-07-2020 14:00,26.34
03-07-2020 14:00,03-07-2020 15:00,31.27
03-07-2020 15:00,03-07-2020 16:00,28.18
03-07-2020 16:00,03-07-2020 17:00,29.22
03-07-2020 17:00,03-07-2020 18:00,26.67
03-07-2020 18:00,03-07-2020 19:00,20.34
03-07-2020 19:00,03-07-2020 20:00,22.83
03-07-2020 20:00,03-07-2020 21:00,28.98
03-07-2020 21:00,03-07-2020 22:00,22.91
03-07-2020 22:00,03-07-2020 23:00,26.86
03-07-2020 23:00,04-07-2020 00:00,22.09
04-07-2020 00:00,04-07-2020 01:00,21.17
04-07-2020 01:00,04-07-2020 02:00,26.31
04-07-2020 02:00,04-07-2020 03:00,29.05
04-07-2020 03:00,04-07-2020 04:00,27.58
04-07-2020 04:00,04-07-2020 05:00,31.36
04-07-2020 05:00,04-07-2020 06:00,24.66
04-07-2020 06:00,04-07-2020 07:00,24.82
04-07-2020 07:00,04-07-2020 08:00,21.83
04-07-2020 08:00,04-07-2020 09:00,25.84
04-07-2020 09:00,04-07-2020 10:00,22.03
04-07-2020 10:00,04-07-2020 11:00,20.37
04-07-2020 11:00,04-07-2020 12:00,17.8
04-07-2020 12:00,04-07-2020 13:00,27.76
04-07-2020 13:00,04-07-2020 14:00,19.54
