From date,To date,Samanpura  Patna - BSPCB
01-07-2020 00:00,01-07-2020 01:00,22.11
01-07-2020 01:00,01-07-2020 02:00,31.88
01-07-2020 02:00,01-07-2020 03:00,30.29
01-07-2020 03:00,01-07-2020 04:00,22.26
01-07-2020 04:00,01-07-2020 05:00,26.08
01-07-2020 05:00,01-07-2020 06:00,23.38
01-07-2020 06:00,01-07-2020 07:00,27.46
01-07-2020 07:00,01-07-2020 08:00,21.86
01-07-2020 08:00,01-07-2020 09:00,18.5
01-07-2020 09:00,01-07-2020 10:00,27.98
01-07-2020 10:00,01-07-2020 11:00,32.19
01-07-2020 11:00,01-07-2020 12:00,31.02
01-07-2020 12:00,01-07-2020 13:00,26.2
01-07-2020 13:00,01-07-2020 14:00,31.99
01-07-2020 14:00,01-07-2020 15:00,32.21
01-07-2020 15:00,01-07-2020 16:00,32.05
01-07-2020 16:00,01-07-2020 17:00,33.54
01-07-2020 17:00,01-07-2020 18:00,45.05
01-07-2020 18:00,01-07-2020 19:00,47.02
01-07-2020 19:00,01-07-2020 20:00,50.6
01-07-2020 20:00,01-07-2020 21:00,63.5
01-07-2020 21:00,01-07-2020 22:00,77.24
01-07-2020 22:00,01-07-2020 23:00,82.94
01-07-2020 23:00,02-07-2020 00:00,77.47
02-07-2020 00:00,02-07-2020 01:00,79.68
02-07-2020 01:00,02-07-2020 02:00,71.01
02-07-2020 02:00,02-07-2020 03:00,64.59
02-07-2020 03:00,02-07-2020 04:00,59.32
02-07-2020 04:00,02-07-2020 05:00,55.17
02-07-2020 05:00,02-07-2020 06:00,44.11
02-07-2020 06:00,02-07-2020 07:00,46.47
02-07-2020 07:00,02-07-2020 08:00,39
02-07-2020 08:00,02-07-2020 09:00,30.14
02-07-2020 09:00,02-07-2020 10:00,31.63
02-07-2020 10:00,02-07-2020 11:00,37.7
02-07-2020 11:00,02-07-2020 12:00,32.98
02-07-2020 12:00,02-07-2020 13:00,37.06
02-07-2020 13:00,02-07-2020 14:00,33.91
02-07-2020 14:00,02-07-2020 15:00,29.9
02-07-2020 15:00,02-07-2020 16:00,23.93
02-07-2020 16:00,02-07-2020 17:00,18
02-07-2020 17:00,02-07-2020 18:00,15.42
02-07-2020 18:00,02-07-2020 19:00,26.98
02-07-2020 19:00,02-07-2020 20:00,23.02
02-07-2020 20:00,02-07-2020 21:00,31.64
02-07-2020 21:00,02-07-2020 22:00,31.07
02-07-2020 22:00,02-07-2020 23:00,38.59
02-07-2020 23:00,03-07-2020 00:00,40.77
03-07-2020 00:00,03-07-2020 01:00,31.22
03-07-2020 01:00,03-07-2020 02:00,32.2
03-07-2020 02:00,03-07-2020 03:00,36.88
03-07-2020 03:00,03-07-2020 04:00,33.13
03-07-2020 04:00,03-07-2020 05:00,25.08
